Estimulo;C1;C5
0;338913.99852,24407782.25914,32.554576,36.016322,338913.99852,24407782.25914,32.554576,36.016322;793871.751006,37114659.226444,29.938094,42.13473,793871.751006,37114659.226444,29.938094,42.13473
1;338914.017556,24407799.961539,32.554577,36.016336,338914.514707,24407810.441252,32.554576,36.016345;793871.893642,37114680.041374,29.938098,42.134744,793871.994917,37114693.322336,29.938099,42.134754
1;338915.533892,24407843.551108,32.554571,36.016364,338916.182656,24407857.964866,32.554571,36.016376;793873.110335,37114728.44782,29.938098,42.134773,793873.987069,37114745.080445,29.938101,42.134786
2;338916.383044,24407865.790886,32.554571,36.016382,338916.875164,24407882.523774,32.554571,36.016393;793874.201208,37114749.720665,29.938104,42.134793,793874.637599,37114769.270899,29.938106,42.134804
2;338917.100966,24407910.185713,32.554569,36.01641,338917.478097,24407918.999746,32.554568,36.016416;793875.04812,37114783.755199,29.938108,42.134815,793875.377531,37114795.789627,29.938109,42.134822
0;338917.568509,24407931.933637,32.554571,36.01643,338917.568509,24407931.933637,32.554571,36.01643;793875.480535,37114814.73382,29.938113,42.134836,793875.480535,37114814.73382,29.938113,42.134836
0;338922.864158,24408128.353652,32.554573,36.016568,338922.864158,24408128.353652,32.554573,36.016568;793879.069831,37115023.418937,29.938149,42.134977,793879.069831,37115023.418937,29.938149,42.134977
1;338923.347841,24408151.96913,32.554571,36.016583,338923.725952,24408164.407371,32.554571,36.016592;793879.341345,37115046.847716,29.938152,42.134993,793880.309435,37115069.153504,29.938152,42.135005
2;338923.80059,24408173.263707,32.554571,36.016598,338924.024898,24408195.146525,32.554571,36.016618;793880.649161,37115078.642145,29.938154,42.135013,793880.707103,37115096.866771,29.938156,42.135026
2;338926.891283,24408245.687506,32.554572,36.016658,338927.298825,24408256.67567,32.554571,36.016665;793882.870779,37115151.568834,29.938167,42.135068,793883.026126,37115159.398253,29.93817,42.135074
0;338927.532873,24408272.349202,32.554571,36.016676,338927.532873,24408272.349202,32.554571,36.016676;793883.086514,37115168.021079,29.938174,42.135083,793883.086514,37115168.021079,29.938174,42.135083
2;338927.877502,24408280.890835,32.554574,36.016685,338927.877502,24408280.890835,32.554574,36.016685;793883.147907,37115183.666519,29.938177,42.135094,793883.147907,37115183.666519,29.938177,42.135094
0;340308.400777,24445545.291958,32.555694,36.04607,340308.400777,24445545.291958,32.555694,36.04607;824591.329442,37442566.500702,29.93767,42.341827,824591.329442,37442566.500702,29.93767,42.341827
2;340308.576753,24445578.905627,32.555701,36.0461,340308.985347,24445603.427299,32.555708,36.046123;824591.576847,37442637.649946,29.937684,42.341877,824591.782876,37442667.108307,29.937697,42.341907
2;340309.60426,24445621.750179,32.555712,36.04614,340309.769318,24445639.188767,32.555713,36.046156;824591.911892,37442702.71727,29.937705,42.341934,824592.458777,37442729.473705,29.937714,42.341958
1;340310.184304,24445653.178175,32.555715,36.046167,340310.509488,24445669.222533,32.555722,36.046183;824596.530861,37442862.559705,29.937725,42.342042,824598.23974,37442903.895183,29.937739,42.342076
2;340311.490835,24445739.294459,32.555739,36.046248,340312.625566,24445760.281163,32.555746,36.046272;824610.143999,37443128.07483,29.93777,42.342236,824611.873056,37443156.715798,29.937787,42.342273
0;340312.81144,24445831.328575,32.555738,36.046313,340312.81144,24445831.328575,32.555738,36.046313;824612.377124,37443214.640055,29.937804,42.342323,824612.377124,37443214.640055,29.937804,42.342323
0;340318.220978,24446031.110257,32.555751,36.046478,340318.220978,24446031.110257,32.555751,36.046478;824631.465832,37444187.537975,29.937912,42.342973,824631.465832,37444187.537975,29.937912,42.342973
1;340320.306918,24446084.351313,32.555762,36.046531,340321.346879,24446148.196718,32.555753,36.046572;824648.465897,37444722.315715,29.938033,42.343421,824666.846391,37445114.125582,29.938034,42.343655
2;340321.392222,24446164.977016,32.555755,36.046585,340321.392222,24446164.977016,32.555755,36.046585;824669.007083,37445231.729366,29.93804,42.343723,824669.007083,37445231.729366,29.93804,42.343723
1;340322.930561,24446245.318218,32.555751,36.046636,340323.221497,24446264.187382,32.555748,36.04665;824694.686043,37445766.829951,29.93808,42.344065,824696.233767,37445821.94355,29.938077,42.344096
2;340323.851879,24446286.262908,32.555746,36.046665,340324.069983,24446298.078807,32.555751,36.046678;824696.722108,37445865.067298,29.938081,42.344121,824696.950588,37445901.353975,29.938091,42.344151
0;340324.529457,24446321.257034,32.555749,36.046694,340324.529457,24446321.257034,32.555749,36.046694;824697.553029,37445924.646683,29.938094,42.344168,824697.553029,37445924.646683,29.938094,42.344168
2;340326.439169,24446398.026751,32.555749,36.046754,340327.700047,24446444.889207,32.555746,36.046784;824701.933281,37446172.584588,29.938101,42.344322,824703.893461,37446275.689076,29.938106,42.344381
0;340328.193432,24446551.553899,32.555745,36.046861,340328.193432,24446551.553899,32.555745,36.046861;824705.468304,37446526.108442,29.938127,42.344541,824705.468304,37446526.108442,29.938127,42.344541
2;340329.522209,24446642.051592,32.555751,36.046933,340330.908453,24446684.048513,32.555748,36.046964;824709.843758,37446802.368161,29.938172,42.344738,824711.503408,37446865.847482,29.938191,42.344797
2;340335.756173,24446809.717144,32.555731,36.047044,340335.876638,24446841.617373,32.555733,36.047069;824728.65076,37447212.868884,29.938172,42.344978,824728.811901,37447281.904722,29.938189,42.34503
0;340337.341969,24446883.919686,32.555734,36.047097,340337.341969,24446883.919686,32.555734,36.047097;824731.330724,37447353.766503,29.938208,42.345084,824731.330724,37447353.766503,29.938208,42.345084
2;340340.974055,24447059.948617,32.555751,36.047239,340341.975681,24447087.824804,32.555748,36.047258;824741.294025,37447857.346335,29.938282,42.345427,824741.521375,37447914.564195,29.938292,42.345468
0;340345.058637,24447153.611194,32.555746,36.0473,340345.058637,24447153.611194,32.555746,36.0473;824743.532125,37447983.49484,29.93831,42.345521,824743.532125,37447983.49484,29.93831,42.345521
2;340348.056036,24447226.743208,32.55576,36.04737,340350.03008,24447304.35954,32.555748,36.047412;824746.616014,37448091.328973,29.938351,42.345622,824749.297401,37448179.773072,29.938355,42.345674
1;340350.610587,24447330.626546,32.555752,36.047435,340351.640785,24447359.848629,32.55575,36.047453;824750.769877,37448234.939359,29.938368,42.345719,824751.540251,37448300.857156,29.938371,42.345755
0;340353.579654,24447471.16076,32.555747,36.047531,340353.579654,24447471.16076,32.555747,36.047531;824754.976471,37448500.994297,29.938394,42.345885,824754.976471,37448500.994297,29.938394,42.345885
2;340353.691017,24447490.223511,32.55575,36.047548,340354.497305,24447550.837971,32.555758,36.047592;824755.313111,37448556.344516,29.938401,42.345922,824756.660144,37448705.800471,29.938425,42.346019
2;340354.626596,24447563.486261,32.555762,36.047605,340355.914245,24447581.063426,32.555763,36.047621;824756.988121,37448737.386913,29.938439,42.346049,824757.724964,37448778.725892,29.938447,42.34608
2;340355.986734,24447598.390256,32.555767,36.047635,340356.968449,24447619.141919,32.555775,36.047657;824758.284417,37448825.072464,29.938457,42.346114,824759.650625,37448885.038064,29.938477,42.346164
1;340357.404254,24447660.887616,32.55577,36.047681,340357.821093,24447681.114898,32.555772,36.047701;824760.160672,37448922.138513,29.93848,42.346191,824760.543351,37448963.895817,29.938493,42.34623
0;340357.867336,24447695.914014,32.555776,36.047716,340357.867336,24447695.914014,32.555776,36.047716;824761.599133,37449009.648343,29.938507,42.34627,824761.599133,37449009.648343,29.938507,42.34627
1;340358.329856,24447723.316476,32.555776,36.047736,340358.409159,24447743.13848,32.555779,36.047752;824761.974953,37449078.197249,29.938514,42.346313,824762.086286,37449150.483919,29.938521,42.346358
2;340358.684662,24447752.678894,32.555782,36.047763,340358.831141,24447764.669211,32.555788,36.047779;824763.399732,37449187.73187,29.938532,42.346392,824763.878337,37449231.150147,29.938554,42.346443
1;340359.481464,24447780.457316,32.555788,36.047791,340359.660141,24447794.350482,32.555791,36.047802;824765.486748,37449261.857366,29.938557,42.346465,824765.762057,37449306.950637,29.938565,42.346494
1;340360.613286,24447826.421457,32.555791,36.047826,340360.862088,24447844.165728,32.555794,36.04784;824766.764677,37449384.781233,29.938575,42.346545,824768.128302,37449433.315606,29.938585,42.346581
0;340361.493888,24447863.559485,32.555795,36.047855,340361.493888,24447863.559485,32.555795,36.047855;824770.907147,37449506.660238,29.938593,42.34663,824770.907147,37449506.660238,29.938593,42.34663
1;340363.952382,24447920.30646,32.555802,36.047905,340365.704134,24447953.765059,32.555802,36.04793;824775.069246,37449671.657641,29.938619,42.346747,824777.09934,37449747.11954,29.93863,42.346799
0;340368.921618,24448080.868405,32.555829,36.048048,340368.921618,24448080.868405,32.555829,36.048048;824786.303115,37450167.053857,29.938734,42.34712,824786.303115,37450167.053857,29.938734,42.34712
2;340369.37823,24448095.857909,32.555832,36.048062,340370.183081,24448116.413694,32.555831,36.048075;824786.742727,37450219.368074,29.938748,42.347161,824788.406056,37450263.226531,29.938751,42.347187
0;340373.216912,24448274.506111,32.555852,36.048207,340373.216912,24448274.506111,32.555852,36.048207;824793.633159,37450743.704587,29.938844,42.347529,824793.633159,37450743.704587,29.938844,42.347529
1;340375.842883,24448389.259965,32.555868,36.048304,340376.26125,24448408.019982,32.555869,36.04832;824798.497312,37451054.358884,29.938911,42.347761,824800.4672,37451144.970216,29.938917,42.347817
1;340376.868652,24448438.475054,32.555865,36.04834,340377.109555,24448466.422853,32.555866,36.048363;824802.314812,37451201.807493,29.938916,42.347849,824802.436038,37451251.330273,29.938927,42.34789
0;340377.417588,24448486.865227,32.555867,36.048379,340377.417588,24448486.865227,32.555867,36.048379;824803.487759,37451371.896285,29.938934,42.347955,824803.487759,37451371.896285,29.938934,42.347955
1;340380.268697,24448542.365154,32.555877,36.048429,340381.412905,24448574.658579,32.555875,36.048451;824807.458512,37451542.216134,29.938977,42.34809,824808.623678,37451622.904318,29.938986,42.348139
1;340382.824967,24448592.992851,32.55588,36.048469,340383.178149,24448613.046848,32.555883,36.048489;824810.902329,37451710.301862,29.939021,42.34822,824812.935805,37451773.453398,29.939036,42.348269
0;340385.846751,24448657.051179,32.555891,36.048536,340385.846751,24448657.051179,32.555891,36.048536;824823.456911,37451967.001358,29.93908,42.348442,824823.456911,37451967.001358,29.93908,42.348442
1;340385.972945,24448678.138187,32.555894,36.048552,340386.862537,24448703.117502,32.555897,36.048575;824824.824779,37452049.91483,29.939091,42.348496,824825.56559,37452104.408886,29.939105,42.348541
1;340388.81328,24448800.237029,32.555911,36.048662,340389.443484,24448815.736798,32.555914,36.048676;824833.099494,37452528.683397,29.939163,42.348838,824834.349576,37452570.307556,29.939174,42.348871
0;340389.678477,24448839.421707,32.555916,36.048692,340389.678477,24448839.421707,32.555916,36.048692;824834.788772,37452794.185031,29.939197,42.34899,824834.788772,37452794.185031,29.939197,42.34899
1;340561.010892,24453156.789618,32.555466,36.051569,340561.84274,24453174.562214,32.555475,36.051594;842104.511342,38102021.16455,29.876638,42.658387,842105.169434,38102062.087934,29.876651,42.658425
0;340566.744258,24453282.445605,32.555484,36.051683,340566.744258,24453282.445605,32.555484,36.051683;842136.324275,38102459.217565,29.876629,42.65864,842136.324275,38102459.217565,29.876629,42.65864
2;340571.295516,24453419.24687,32.555501,36.0518,340571.51389,24453444.535485,32.555503,36.051819;842165.407337,38102838.166679,29.876636,42.658871,842165.592441,38102881.345854,29.876642,42.658898
0;340573.944974,24453519.270061,32.555538,36.051905,340573.944974,24453519.270061,32.555538,36.051905;842171.938956,38103015.302751,29.876696,42.659025,842171.938956,38103015.302751,29.876696,42.659025
