Estimulo;C1;C3;C5
0;703880.711982,36516421.983455,28.937026,40.819969,703880.711982,36516421.983455,28.937026,40.819969;1160983.475414,37177236.135393,28.760094,41.292764,1160983.475414,37177236.135393,28.760094,41.292764;1122269.560394,38395252.334195,28.192825,41.323793,1122269.560394,38395252.334195,28.192825,41.323793
1;703915.744325,36516693.723353,28.936993,40.820114,703965.873632,36517383.515267,28.937239,40.820736;1160992.629901,37177343.991287,28.760089,41.292822,1161013.955569,37177621.78127,28.76018,41.293058;1122301.239697,38395538.387461,28.192801,41.323945,1122360.856064,38396325.181015,28.193028,41.324583
1;703966.238581,36517395.359495,28.937245,40.820749,703974.999557,36517592.495977,28.937251,40.820866;1161014.07592,37177628.516223,28.760184,41.293066,1161020.241004,37177707.386865,28.760188,41.293115;1122361.084169,38396341.525422,28.193036,41.324599,1122373.294634,38396546.122913,28.193046,41.324722
1;703978.611307,36517738.615765,28.937235,40.82093,703993.141629,36518357.88931,28.937279,40.821305;1161021.640417,37177770.362424,28.760182,41.293143,1161027.211397,37178017.704459,28.760196,41.293287;1122376.83686,38396702.727402,28.193031,41.324789,1122393.875166,38397434.51158,28.19306,41.325197
1;703993.713169,36518373.831495,28.937285,40.82132,703995.555131,36518415.391863,28.937336,40.821384;1161027.462241,37178027.921931,28.760199,41.293295,1161028.33094,37178049.330435,28.760217,41.293321;1122394.363165,38397458.318184,28.193068,41.325217,1122396.497903,38397526.665415,28.193114,41.325289
2;703996.984578,36518424.834832,28.937341,40.821394,704007.491227,36518663.746666,28.937367,40.821554;1161029.315733,37178057.314475,28.76022,41.293328,1161034.48805,37178145.936936,28.760228,41.293387;1122398.588413,38397552.619814,28.193119,41.325307,1122407.658174,38397794.830102,28.193148,41.325465
0;704047.206241,36521701.153595,28.938923,40.824518,704047.206241,36521701.153595,28.938923,40.824518;1161056.962866,37179212.608376,28.760785,41.294423,1161056.962866,37179212.608376,28.760785,41.294423;1122462.386843,38401005.569695,28.194625,41.328368,1122462.386843,38401005.569695,28.194625,41.328368
1;704055.112486,36521743.600448,28.938923,40.824547,704062.949803,36522157.825152,28.938861,40.824722;1161059.982976,37179237.114474,28.760786,41.294439,1161062.015213,37179393.862361,28.760769,41.294506;1122470.773302,38401063.196896,28.194627,41.328406,1122482.926474,38401493.715185,28.19457,41.328587
2;704063.319888,36522167.813716,28.938864,40.824729,704072.844875,36522588.956336,28.939086,40.825146;1161062.088744,37179401.219845,28.76077,41.294511,1161064.28917,37179550.838083,28.760854,41.29466;1122483.276452,38401508.71126,28.194573,41.328597,1122492.326319,38401931.939085,28.194781,41.328992
1;704090.974014,36522845.506453,28.939081,40.825312,704093.086424,36523073.746209,28.939265,40.825582;1161071.441395,37179666.909206,28.76085,41.294731,1161072.545887,37179761.379629,28.760917,41.294835;1122514.052447,38402280.585334,28.194761,41.329192,1122516.626938,38402537.766985,28.194934,41.329464
1;704097.605897,36523097.469829,28.939268,40.8256,704097.948038,36523101.429761,28.939269,40.825604;1161076.482591,37179779.02407,28.760917,41.294848,1161076.708708,37179781.901733,28.760918,41.29485;1122523.130871,38402573.788162,28.194937,41.329489,1122523.511794,38402578.300527,28.194938,41.329493
0;704099.386616,36523146.950178,28.939299,40.825657,704099.386616,36523146.950178,28.939299,40.825657;1161077.660377,37179807.311572,28.760928,41.294874,1161077.660377,37179807.311572,28.760928,41.294874;1122524.607987,38402636.73169,28.194966,41.32955,1122524.607987,38402636.73169,28.194966,41.32955
2;704100.021199,36523167.440815,28.939312,40.82568,704132.128852,36524409.599865,28.940033,40.826941;1161077.96355,37179820.699055,28.760935,41.294887,1161094.229151,37180281.237423,28.761189,41.295343;1122525.373405,38402665.160459,28.194982,41.32958,1122565.647839,38404025.700658,28.19565,41.330827
2;704135.640764,36524642.221946,28.940002,40.827048,704169.509669,36526589.029924,28.940735,40.828758;1161096.709075,37180389.476859,28.761175,41.295392,1161113.862875,37181100.569049,28.761437,41.29601;1122573.542421,38404366.464518,28.195606,41.330978,1122619.980561,38406481.771309,28.196288,41.332692
1;704186.921343,36526674.666402,28.940741,40.828825,704200.279622,36526782.557052,28.940766,40.828917;1161124.821555,37181136.790119,28.761439,41.29604,1161129.243451,37181180.971158,28.761453,41.296078;1122641.595521,38406599.472228,28.196291,41.332774,1122660.879376,38406720.947628,28.196322,41.332878
0;704203.747305,36526876.015333,28.940768,40.828977,704203.747305,36526876.015333,28.940768,40.828977;1161130.582101,37181215.315464,28.761458,41.296102,1161130.582101,37181215.315464,28.761458,41.296102;1122665.577816,38406815.926482,28.196327,41.332941,1122665.577816,38406815.926482,28.196327,41.332941
2;704203.866002,36526884.805585,28.940774,40.828987,704210.31344,36526982.453104,28.940811,40.829078;1161130.615445,37181221.780702,28.76146,41.296108,1161133.349758,37181253.894394,28.761473,41.296138;1122665.631444,38406829.274757,28.196333,41.332954,1122669.557727,38406919.251884,28.196372,41.333033
2;704210.938221,36526992.912905,28.940817,40.829092,704221.319584,36527827.116452,28.941257,40.829924;1161133.689148,37181261.011057,28.761477,41.296146,1161137.244963,37181570.203187,28.761642,41.296453;1122670.001616,38406933.370166,28.19638,41.33305,1122683.451603,38407892.588226,28.19679,41.333902
1;704224.470337,36528050.528809,28.94125,40.830043,704225.311299,36528181.535434,28.941338,40.830186;1161139.531214,37181660.333566,28.761639,41.2965,1161139.759317,37181708.079675,28.76167,41.296551;1122689.890529,38408148.150889,28.19678,41.334033,1122690.680717,38408301.049022,28.196859,41.334176
1;704226.113902,36528207.053251,28.941344,40.830207,704226.435549,36528231.368835,28.941351,40.830225;1161140.104124,37181721.374516,28.761674,41.296562,1161140.148024,37181737.003862,28.761677,41.296572;1122690.889012,38408323.648258,28.196868,41.334195,1122690.946843,38408351.309611,28.196876,41.334215
0;704226.501167,36528243.708712,28.941357,40.830239,704226.501167,36528243.708712,28.941357,40.830239;1161140.208328,37181742.833538,28.761681,41.29658,1161140.208328,37181742.833538,28.761681,41.29658;1122691.034845,38408361.802387,28.196886,41.334231,1122691.034845,38408361.802387,28.196886,41.334231
2;704226.612166,36528254.516681,28.941359,40.830247,704228.522556,36528298.749957,28.94137,40.830285;1161140.246934,37181748.363862,28.761682,41.296584,1161140.262674,37181757.360473,28.761685,41.296591;1122691.109091,38408372.579992,28.196888,41.33424,1122691.146184,38408395.265573,28.196896,41.334257
1;704233.168478,36528322.476582,28.941376,40.830304,704234.242622,36528337.849633,28.941385,40.830322;1161140.488819,37181765.797061,28.761689,41.296598,1161141.615277,37181773.085521,28.761695,41.296608;1122692.188587,38408425.892171,28.196903,41.334279,1122693.538555,38408443.109366,28.196914,41.3343
1;704234.417707,36528342.442631,28.941387,40.830326,704234.660219,36528361.472795,28.941393,40.83034;1161141.757407,37181775.460304,28.761696,41.29661,1161142.08824,37181786.164761,28.761699,41.296619;1122694.212179,38408451.309042,28.196916,41.334305,1122694.669358,38408473.950301,28.196923,41.334323
1;704234.76138,36528381.989408,28.941397,40.830353,704252.845603,36528733.039179,28.941356,40.830519;1161142.181416,37181794.370663,28.761702,41.296625,1161148.851549,37181927.714971,28.76169,41.296688;1122694.765727,38408493.096812,28.19693,41.334337,1122714.134512,38408857.207069,28.196894,41.334506
2;704267.189451,36529143.820459,28.941644,40.830963,704267.198231,36529160.253596,28.941651,40.830978;1161153.990408,37182101.799994,28.761783,41.296852,1161154.072129,37182110.808318,28.761787,41.29686;1122728.921875,38409381.38322,28.197141,41.334963,1122728.981067,38409399.140838,28.197151,41.334982
0;704274.214877,36529465.427709,28.941841,40.831319,704274.214877,36529465.427709,28.941841,40.831319;1161157.083318,37182232.086721,28.761858,41.296988,1161157.083318,37182232.086721,28.761858,41.296988;1122737.866106,38409748.760346,28.197333,41.335331,1122737.866106,38409748.760346,28.197333,41.335331
2;704279.052305,36529526.799682,28.941836,40.831354,704282.700995,36529635.451099,28.941879,40.831449;1161159.11933,37182260.85844,28.761857,41.297004,1161160.336859,37182295.87201,28.761872,41.297036;1122742.109798,38409828.459073,28.197328,41.335373,1122744.965845,38409914.430632,28.19737,41.335453
1;704282.88599,36529670.562817,28.941889,40.831475,704283.913907,36529697.042604,28.941897,40.831496;1161160.487048,37182302.258652,28.761877,41.297044,1161161.253568,37182315.548568,28.761881,41.297054;1122745.281053,38409927.664577,28.19738,41.335469,1122746.665694,38409956.234829,28.197391,41.335492
1;704284.073513,36529715.787897,28.941905,40.831512,704284.177475,36529728.101382,28.941912,40.831525;1161161.342691,37182325.030241,28.761886,41.297063,1161161.466826,37182333.330644,28.76189,41.29707;1122747.110321,38409978.532574,28.197402,41.335511,1122747.29621,38410001.555429,28.197409,41.335529
2;704285.222633,36529734.066716,28.941912,40.831528,704287.230552,36529784.214635,28.94191,40.831555;1161162.0398,37182338.149199,28.76189,41.297073,1161162.279639,37182346.113367,28.761892,41.297079;1122748.446738,38410009.693315,28.197409,41.335534,1122748.758551,38410025.633681,28.197415,41.335548
0;704291.826585,36529847.501295,28.941916,40.831604,704291.826585,36529847.501295,28.941916,40.831604;1161162.648234,37182361.17088,28.761899,41.297093,1161162.648234,37182361.17088,28.761899,41.297093;1122749.360792,38410053.324295,28.197431,41.335576,1122749.360792,38410053.324295,28.197431,41.335576
1;704292.461247,36529870.143754,28.941921,40.83162,704292.461247,36529870.143754,28.941921,40.83162;1161163.433131,37182372.756141,28.761901,41.297101,1161163.433131,37182372.756141,28.761901,41.297101;1122750.562459,38410079.464047,28.197438,41.335595,1122750.562459,38410079.464047,28.197438,41.335595
2;1272528.377683,35568822.298665,28.648257,40.266813,1272528.504249,35568853.472376,28.648266,40.266837;1303601.806192,35761921.222461,28.595158,40.361545,1303601.929372,35761937.460689,28.595164,40.361557;730738.757213,32769330.270811,29.399306,39.097551,730739.069484,32769372.23732,29.399316,39.097581
0;1272552.520545,35569617.485113,28.648656,40.267614,1272552.520545,35569617.485113,28.648656,40.267614;1303611.769506,35762191.700406,28.595301,40.361822,1303611.769506,35762191.700406,28.595301,40.361822;730766.086726,32770123.66419,29.39964,39.098331,730766.086726,32770123.66419,29.39964,39.098331
2;1272554.07576,35569631.103143,28.648658,40.267624,1272561.497449,35570354.43239,28.648724,40.268111;1303613.246042,35762199.259093,28.595301,40.361828,1303617.043434,35762485.351063,28.595321,40.362011;730770.982125,32770141.011843,29.39964,39.098346,730780.425103,32770963.205809,29.399648,39.098866
1;1272570.956911,35570405.103165,28.648725,40.268149,1272585.506343,35570758.161903,28.648741,40.268359;1303621.943499,35762509.220114,28.595323,40.36203,1303626.188917,35762662.952565,28.595327,40.362117;730795.211907,32771033.194642,29.399646,39.098918,730811.280639,32771454.177626,29.399636,39.09916
1;1272585.541418,35570770.15575,28.648744,40.268367,1272586.326695,35570821.561596,28.648809,40.268457;1303626.251796,35762669.768023,28.595328,40.362122,1303626.516396,35762687.408923,28.595353,40.362153;730811.516988,32771463.75383,29.399639,39.099168,730814.066004,32771522.720436,29.399695,39.099262
1;1272587.399188,35570861.603019,28.648821,40.268488,1272587.56738,35570898.535952,28.648841,40.268524;1303626.953443,35762705.744841,28.59536,40.362169,1303627.092359,35762726.577514,28.595371,40.362188;730814.576734,32771569.005446,29.399712,39.099302,730814.914723,32771615.354806,29.399735,39.099347
0;1272588.664009,35570909.754297,28.648844,40.268533,1272588.664009,35570909.754297,28.648844,40.268533;1303628.286675,35762731.187158,28.595372,40.362193,1303628.286675,35762731.187158,28.595372,40.362193;730816.823811,32771626.829082,29.399737,39.099356,730816.823811,32771626.829082,29.399737,39.099356
1;1272589.033375,35570924.348064,28.648854,40.268549,1272590.287034,35570957.600003,28.648861,40.268573;1303628.401341,35762738.836132,28.595377,40.362201,1303628.8303,35762754.344493,28.595381,40.362213;730817.136302,32771642.903803,29.399749,39.099375,730817.766061,32771677.61467,29.399759,39.099402
2;1272590.357964,35570976.288492,28.648875,40.268596,1272596.953468,35570999.637969,28.648895,40.268628;1303629.002983,35762761.302029,28.595389,40.362224,1303630.95238,35762770.664449,28.5954,40.362239;730818.216305,32771700.604197,29.399777,39.099433,730822.010013,32771725.242694,29.399803,39.099469
2;1272597.82405,35571019.996694,28.648895,40.268639,1272655.149202,35572194.549445,28.649585,40.269835;1303631.061147,35762773.02048,28.595402,40.362241,1303655.30877,35763189.632001,28.595645,40.362661;730822.320721,32771729.52795,29.399806,39.099473,730890.528373,32772865.151229,29.40041,39.10063
1;1272665.540443,35572251.387509,28.649588,40.26988,1272670.29815,35572340.779894,28.649722,40.270058;1303659.095268,35763216.892381,28.595648,40.36268,1303660.471167,35763247.509847,28.595699,40.362747;730902.930352,32772928.207389,29.400409,39.100679,730908.181534,32773026.693764,29.400532,39.100858
0;1272683.040806,35572385.196581,28.649711,40.270087,1272683.040806,35572385.196581,28.649711,40.270087;1303662.890968,35763266.446524,28.595696,40.362758,1303662.890968,35763266.446524,28.595696,40.362758;730920.219081,32773084.898339,29.400517,39.100893,730920.219081,32773084.898339,29.400517,39.100893
2;1272683.192029,35572388.382764,28.649721,40.270099,1272684.171255,35572424.33206,28.649726,40.270125;1303663.081665,35763268.430095,28.595701,40.362765,1303663.461995,35763283.594566,28.595704,40.362775;730920.359921,32773091.739286,29.400529,39.10091,730921.004575,32773127.978678,29.400532,39.100933
2;1272685.562975,35572451.014156,28.649731,40.270142,1272718.102578,35573788.931171,28.650552,40.271559;1303663.929536,35763294.500269,28.595707,40.362783,1303680.682007,35763790.573701,28.595992,40.363294;730922.475819,32773154.94595,29.400537,39.100952,730962.293655,32774549.129815,29.401225,39.10235
1;1272718.531921,35573817.761351,28.650561,40.271581,1272722.091157,35573980.087497,28.650695,40.27178;1303681.189273,35763810.443528,28.595995,40.363306,1303682.490843,35763872.114166,28.596042,40.363378;730963.329309,32774597.631471,29.401229,39.102381,730966.968312,32774786.431882,29.401341,39.10258
2;1272722.812884,35573995.656042,28.650702,40.271794,1272764.339596,35574683.008683,28.651333,40.272728;1303683.125618,35763878.961097,28.596045,40.363385,1303700.890232,35764130.468249,28.596256,40.363715;730967.576721,32774807.416478,29.401347,39.102598,731011.779554,32775497.933665,29.401906,39.103511
1;1272797.229606,35574806.402984,28.651317,40.272806,1272798.229774,35574826.396106,28.651329,40.272829;1303716.417978,35764188.672848,28.596246,40.363751,1303717.055605,35764199.581144,28.596252,40.363762;731050.284857,32775663.365291,29.401877,39.10361,731051.256899,32775685.471393,29.40189,39.103636
0;1272807.619739,35574872.049671,28.651328,40.272859,1272807.619739,35574872.049671,28.651328,40.272859;1303723.613476,35764227.745036,28.596249,40.36378,1303723.613476,35764227.745036,28.596249,40.36378;731066.912325,32775735.416531,29.401884,39.10367,731066.912325,32775735.416531,29.401884,39.10367
1;1272807.803535,35574886.290107,28.651334,40.272871,1272809.184221,35574931.070712,28.651366,40.272923;1303724.02888,35764236.236707,28.596253,40.363787,1303725.222385,35764254.086652,28.596265,40.363808;731067.750538,32775754.600986,29.40189,39.103687,731068.940918,32775796.914471,29.401922,39.103739
1;1272809.913712,35574937.205657,28.65137,40.272929,1272816.690419,35575103.440609,28.651462,40.273099;1303725.635772,35764259.453928,28.596267,40.363812,1303727.170242,35764323.411891,28.596299,40.363874;731069.233663,32775803.071089,29.401926,39.103745,731078.325955,32775966.077474,29.40201,39.103915
1;1272816.835742,35575137.209374,28.651468,40.273122,1272840.469054,35575455.706171,28.651587,40.273397;1303727.29519,35764344.43434,28.596302,40.363887,1303738.318211,35764468.765188,28.596342,40.363989;731078.390034,32776003.854275,29.402016,39.103941,731106.695845,32776354.389956,29.402112,39.104229
