Estimulo;C2;C3;C4
2;1057590.720128,38377609.286988,28.605777,41.706487,1057591.404741,38377615.479557,28.605778,41.706492;1160902.444703,37175436.870798,28.759546,41.291282,1160902.759596,37175442.074247,28.759546,41.291285;819426.383452,32704660.284808,30.235044,39.78482,819426.588186,32704664.955201,30.235044,39.784823
0;1057593.466975,38377764.150208,28.605886,41.706681,1057593.466975,38377764.150208,28.605886,41.706681;1160903.551516,37175481.438965,28.759575,41.291335,1160903.551516,37175481.438965,28.759575,41.291335;819427.317599,32704707.7794,30.23507,39.784875,819427.317599,32704707.7794,30.23507,39.784875
1;1057593.54624,38377832.80762,28.605915,41.706741,1057605.227762,38378462.606734,28.60602,41.707187;1160903.69978,37175501.186404,28.759583,41.291353,1160906.267548,37175617.788467,28.759616,41.291449;819427.42311,32704726.762124,30.235078,39.784893,819429.785655,32704848.209576,30.235104,39.784994
2;1057606.932207,38378491.738247,28.606026,41.707213,1057610.549906,38378528.164552,28.606044,41.707249;1160906.621593,37175624.664832,28.759618,41.291456,1160908.424902,37175635.450791,28.759623,41.291467;819430.006292,32704854.429609,30.235106,39.785001,819431.666011,32704863.648072,30.235111,39.785011
2;1057610.636127,38378556.377784,28.606054,41.707273,1057646.930493,38379334.094698,28.606376,41.707986;1160908.462042,37175643.721286,28.759627,41.291474,1160916.066438,37175818.980896,28.759714,41.291647;819431.735082,32704870.975197,30.235114,39.785019,819439.218061,32705044.362538,30.235195,39.785196
2;1057665.345904,38379708.589389,28.606362,41.708195,1057669.468411,38379801.053949,28.606421,41.708294;1160919.767301,37175894.703002,28.759714,41.291692,1160921.348222,37175917.211853,28.759729,41.291716;819442.166521,32705114.59004,30.235192,39.785241,819443.575729,32705138.611039,30.235206,39.785266
0;1057673.231096,38379820.015417,28.60643,41.708316,1057673.231096,38379820.015417,28.60643,41.708316;1160922.508771,37175924.349463,28.759732,41.291724,1160922.508771,37175924.349463,28.759732,41.291724;819444.797501,32705152.034896,30.235207,39.785276,819444.797501,32705152.034896,30.235207,39.785276
2;1057673.447342,38379860.234047,28.606438,41.708344,1057699.417233,38380706.523226,28.606701,41.709023;1160922.643418,37175937.520492,28.759734,41.291732,1160928.218792,37176138.136343,28.759809,41.291902;819444.92843,32705164.068875,30.235209,39.785285,819450.118667,32705370.843799,30.235275,39.785463
1;1057708.382931,38380779.700614,28.606698,41.709067,1057720.843769,38380931.086789,28.606755,41.709214;1160929.755093,37176155.554344,28.759809,41.291913,1160931.730916,37176183.107609,28.759827,41.291946;819451.42087,32705388.019752,30.235274,39.785473,819453.553725,32705414.731106,30.23529,39.785506
1;1057721.306875,38380967.467441,28.606763,41.709241,1057721.306875,38380967.467441,28.606763,41.709241;1160931.78975,37176192.450583,28.759829,41.291953,1160931.78975,37176192.450583,28.759829,41.291953;819453.611199,32705424.186287,30.235292,39.785514,819453.611199,32705424.186287,30.235292,39.785514
1;1057761.451886,38381405.873167,28.606811,41.70954,1057767.698943,38381443.980779,28.606822,41.709574;1160940.644816,37176297.410531,28.759845,41.292028,1160942.297822,37176308.062622,28.759848,41.292037;819462.170816,32705526.690534,30.235303,39.78559,819463.647767,32705536.792709,30.235306,39.785599
0;1057785.006538,38381770.601708,28.606984,41.70991,1057785.006538,38381770.601708,28.606984,41.70991;1160945.160987,37176375.04665,28.759897,41.292119,1160945.160987,37176375.04665,28.759897,41.292119;819466.223565,32705609.188971,30.235352,39.785685,819466.223565,32705609.188971,30.235352,39.785685
1;1057785.875429,38381797.9962,28.607,41.709939,1057788.252545,38381971.684817,28.607029,41.710057;1160945.422405,37176384.32563,28.759902,41.292128,1160946.30661,37176411.984464,28.759913,41.292153;819466.417226,32705617.872831,30.235356,39.785694,819467.162482,32705639.358602,30.235366,39.785717
2;1057788.348345,38381992.655618,28.607032,41.710071,1057822.677356,38382926.761701,28.607454,41.710923;1160946.315924,37176419.123468,28.759914,41.292157,1160951.915416,37176618.967026,28.760031,41.292359;819467.172828,32705645.563789,30.235367,39.785721,819472.514602,32705839.231037,30.235477,39.785926
2;1057860.056422,38383566.393442,28.607366,41.711221,1057861.423469,38383668.388444,28.607428,41.711326;1160960.297621,37176744.509659,28.760016,41.292421,1160960.819336,37176771.59658,28.760033,41.292448;819480.414784,32705960.039223,30.235458,39.785989,819480.889472,32705986.799533,30.235473,39.786017
1;1057862.608206,38383771.214648,28.607444,41.711395,1057898.472806,38384029.688281,28.607401,41.711521;1160961.026967,37176792.393243,28.760039,41.292465,1160970.603755,37176842.962173,28.76003,41.292493;819481.124537,32706005.949249,30.235479,39.786034,819490.352688,32706055.287189,30.235468,39.786062
0;1057915.696841,38384212.690281,28.607386,41.711618,1057915.696841,38384212.690281,28.607386,41.711618;1160974.696318,37176896.983969,28.760026,41.292521,1160974.696318,37176896.983969,28.760026,41.292521;819494.553644,32706109.605044,30.235461,39.786091,819494.553644,32706109.605044,30.235461,39.786091
1;1057916.251703,38384240.301908,28.607399,41.711645,1057923.437332,38384785.922593,28.607443,41.711981;1160975.040714,37176905.010625,28.76003,41.292529,1160977.440389,37177036.093211,28.760045,41.292615;819494.813351,32706117.701287,30.235464,39.786099,819496.999038,32706241.856728,30.235475,39.786185
1;1057923.637915,38384819.27831,28.607454,41.712009,1057925.15792,38384914.808722,28.607498,41.7121;1160977.490646,37177044.501221,28.760049,41.292622,1160978.151279,37177067.855515,28.760062,41.292646;819497.043169,32706249.739963,30.235479,39.786192,819497.776298,32706274.260201,30.23549,39.786217
1;1057925.24603,38384952.78887,28.607508,41.712127,1057932.560195,38385359.592352,28.60761,41.712429;1160978.238474,37177079.874135,28.760065,41.292655,1160978.993236,37177173.305579,28.760095,41.292729;819497.874297,32706286.335402,30.235492,39.786226,819498.527638,32706374.435778,30.235519,39.7863
0;1057951.705253,38385650.811049,28.607601,41.712582,1057951.705253,38385650.811049,28.607601,41.712582;1160983.475414,37177236.135393,28.760094,41.292764,1160983.475414,37177236.135393,28.760094,41.292764;819502.664976,32706435.882533,30.235516,39.786335,819502.664976,32706435.882533,30.235516,39.786335
1;1057998.581315,38386108.915111,28.607561,41.712819,1058095.872259,38387399.009479,28.607864,41.713823;1160992.629901,37177343.991287,28.760089,41.292822,1161013.955569,37177621.78127,28.76018,41.293058;819511.234854,32706537.136676,30.235506,39.786392,819531.667974,32706809.423143,30.235585,39.786633
1;1058096.268955,38387426.096388,28.607876,41.713848,1058117.193683,38387777.399474,28.607877,41.714048;1161014.07592,37177628.516223,28.760184,41.293066,1161020.241004,37177707.386865,28.760188,41.293115;819531.793389,32706815.905021,30.235589,39.78664,819538.062986,32706886.795329,30.235591,39.786688
1;1058123.171206,38388016.672572,28.607852,41.71415,1058153.837972,38389171.729674,28.607868,41.714781;1161021.640417,37177770.362424,28.760182,41.293143,1161027.211397,37178017.704459,28.760196,41.293287;819539.386193,32706946.785675,30.235582,39.786715,819544.595821,32707189.816529,30.235587,39.786861
1;1058154.573843,38389205.265006,28.607879,41.71481,1058158.418597,38389309.298062,28.607944,41.714918;1161027.462241,37178027.921931,28.760199,41.293295,1161028.33094,37178049.330435,28.760217,41.293321;819544.824395,32707199.692111,30.23559,39.78687,819545.510805,32707220.546336,30.235606,39.786896
