Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:03:12.011372;2025-05-15 15:03:13.132823;339060.73121,24411825.84261,32.554546,36.019341;827599.846822,35022404.931622,29.759697,40.72713;404635.756657,24126169.976354,33.003567,36.218213;919245.147315,33115433.833263,30.642489,40.521807;794030.946906,37119430.869015,29.938708,42.138048
2025-05-15 15:03:13.133786;2025-05-15 15:03:14.017942;339060.856537,24411832.590678,32.554546,36.019346;827599.925755,35022427.643112,29.759701,40.727147;404635.834145,24126220.511773,33.00357,36.218254;919245.240523,33115513.831808,30.642504,40.521869;794031.109507,37119440.137323,29.938709,42.138055
2025-05-15 15:03:14.018940;2025-05-15 15:03:14.543665;339062.577053,24411851.666262,32.554542,36.019358;827602.356874,35022461.942063,29.759704,40.727172;404639.018136,24126288.735363,33.003572,36.218312;919249.370691,33115621.981402,30.642517,40.521953;794032.651095,37119457.865826,29.938709,42.138066
2025-05-15 15:03:14.545660;2025-05-15 15:03:15.092139;339062.754753,24411864.554693,32.554547,36.019374;827602.972771,35022515.53336,29.759733,40.727242;404640.45295,24126436.751192,33.003612,36.218501;919251.321384,33115883.186832,30.642607,40.52225;794032.896108,37119478.891504,29.938716,42.138087
2025-05-15 15:03:15.093137;2025-05-15 15:03:15.593855;339062.815463,24411880.50273,32.554545,36.019384;827603.493246,35022553.869246,29.759739,40.727269;404642.072798,24126518.13441,33.003615,36.218567;919253.625818,33116016.631755,30.642625,40.522349;794032.999957,37119494.580538,29.938717,42.138097
2025-05-15 15:03:15.594852;2025-05-15 15:03:16.127045;339064.103293,24411910.520798,32.554547,36.019409;827610.150614,35022666.559685,29.759769,40.727368;404660.193471,24126793.664343,33.003642,36.218826;919283.010122,33116469.406237,30.642714,40.52274;794035.608243,37119538.921714,29.938723,42.138129
2025-05-15 15:03:16.128042;2025-05-15 15:03:16.675661;339064.422459,24411919.078567,32.554547,36.019416;827612.192542,35022700.390941,29.759775,40.727396;404665.886789,24126876.514409,33.003641,36.2189;919293.583346,33116614.383073,30.642726,40.522856;794036.48751,37119547.330421,29.938725,42.138137
2025-05-15 15:03:16.676693;2025-05-15 15:03:17.719754;339065.285219,24411952.55284,32.554544,36.019438;827613.756125,35022772.780199,29.759789,40.72745;404668.622547,24127024.515456,33.003658,36.219023;919297.908076,33116840.845599,30.642777,40.523033;794037.598635,37119582.87625,29.938728,42.13816
2025-05-15 15:03:17.719754;2025-05-15 15:03:18.779183;339065.636196,24411983.440023,32.554546,36.019464;827614.463545,35022898.183263,29.759802,40.727532;404670.614231,24127305.057961,33.003651,36.219221;919301.053618,33117291.019657,30.642808,40.523322;794038.469075,37119633.138256,29.938732,42.138193
2025-05-15 15:03:18.780149;2025-05-15 15:03:19.834147;339066.954188,24412024.468473,32.554538,36.019488;827616.581618,35022962.934652,29.75981,40.727577;404673.404835,24127441.973049,33.003657,36.219328;919308.510415,33117615.523641,30.642827,40.523545;794039.307727,37119655.678286,29.938734,42.138208
