Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:22:32.260614;2025-05-15 15:22:33.821979;339812.274464,24432111.919225,32.554842,36.03502;829127.836576,35091434.337328,29.774056,40.78059;408913.000085,24340517.804939,32.996757,36.377748;930472.334408,33376646.000622,30.659855,40.705745;800066.498354,37265075.910651,29.945833,42.229281
2025-05-15 15:22:33.823972;2025-05-15 15:22:34.351718;339812.884107,24432136.198066,32.554844,36.03504;829128.696812,35091520.618167,29.774085,40.78066;408914.290566,24340675.810237,32.996787,36.377885;930473.765477,33376825.295521,30.659904,40.70589;800067.163215,37265109.307075,29.945841,42.229306
2025-05-15 15:22:34.352716;2025-05-15 15:22:34.961596;339813.720647,24432150.580907,32.554843,36.03505;829130.43593,35091549.904701,29.774092,40.780685;408916.325061,24340727.562096,32.996794,36.377932;930475.88184,33376884.03908,30.659917,40.705938;800068.27222,37265127.576727,29.945842,42.229318
2025-05-15 15:22:34.963589;2025-05-15 15:22:35.540050;339813.804335,24432163.432555,32.554843,36.03506;829130.972273,35091589.579256,29.774098,40.780716;408917.43635,24340798.360932,32.996794,36.377993;930477.289604,33376962.175441,30.659926,40.706001;800068.550112,37265143.958477,29.945844,42.22933
2025-05-15 15:22:35.541045;2025-05-15 15:22:36.074298;339816.44624,24432178.149522,32.554843,36.035075;829135.448252,35091659.111949,29.774109,40.780774;408923.981513,24340933.604779,32.996791,36.378114;930484.104549,33377116.434565,30.65994,40.706126;800071.86462,37265174.585241,29.945846,42.229353
2025-05-15 15:22:36.075294;2025-05-15 15:22:36.653382;339818.228358,24432212.274107,32.554845,36.035101;829137.868041,35091769.860808,29.774141,40.780864;408928.059731,24341134.473693,32.996828,36.378293;930487.775151,33377342.303775,30.659998,40.70631;800073.849739,37265216.5412,29.945855,42.229386
2025-05-15 15:22:36.654347;2025-05-15 15:22:37.382938;339818.662899,24432230.275913,32.554852,36.035124;829140.581203,35091838.060221,29.774183,40.780955;408933.147439,24341260.389766,32.996877,36.378471;930493.157411,33377483.59629,30.660068,40.706494;800074.551034,37265239.453524,29.945868,42.229416
2025-05-15 15:22:37.383935;2025-05-15 15:22:38.445437;339818.861963,24432242.259208,32.554855,36.035136;829141.057752,35091882.328399,29.774201,40.780996;408933.809398,24341346.659219,32.996897,36.378551;930493.847953,33377576.221456,30.660099,40.706576;800074.713699,37265257.359372,29.945874,42.229431
2025-05-15 15:22:38.446433;2025-05-15 15:22:39.487390;339821.806089,24432277.294598,32.554849,36.035159;829144.372716,35091976.124675,29.774216,40.781061;408937.104615,24341506.494002,32.996907,36.378673;930497.272843,33377752.780461,30.660126,40.7067;800077.243066,37265307.681293,29.945873,42.229459
2025-05-15 15:22:39.488388;2025-05-15 15:22:40.576095;339822.518651,24432308.567769,32.554848,36.03518;829147.154483,35092088.557927,29.77423,40.781135;408941.70325,24341704.195417,32.99691,36.378816;930502.143035,33377968.409068,30.66015,40.706844;800078.322969,37265350.090451,29.945875,42.229485
