Estimulo;C1;C2;C3;C4;C5
0;1390305.966667,50956395.427129,27.580776,47.037439,1390305.966667,50956395.427129,27.580776,47.037439;2024686.442225,50382523.997948,27.772814,47.754101,2024686.442225,50382523.997948,27.772814,47.754101;3314128.056447,64169854.724378,27.693914,53.662119,3314128.056447,64169854.724378,27.693914,53.662119;8886601.993161,204249726.858571,27.454917,94.796077,8886601.993161,204249726.858571,27.454917,94.796077;1043777.326503,43703635.123909,28.372225,44.423135,1043777.326503,43703635.123909,28.372225,44.423135
0;1390306.095774,50956400.24429,27.580779,47.037444,1390306.095774,50956400.24429,27.580779,47.037444;2024686.513939,50382530.406512,27.772818,47.754107,2024686.513939,50382530.406512,27.772818,47.754107;3314128.071185,64169856.532393,27.693914,53.66212,3314128.071185,64169856.532393,27.693914,53.66212;8899308.669781,204788641.729665,27.446715,94.900763,8899308.669781,204788641.729665,27.446715,94.900763;1043777.389845,43703640.068534,28.372227,44.423139,1043777.389845,43703640.068534,28.372227,44.423139
0;1390306.119304,50956410.491283,27.580783,47.037452,1390306.119304,50956410.491283,27.580783,47.037452;2024686.543701,50382543.885783,27.772823,47.754118,2024686.543701,50382543.885783,27.772823,47.754118;3314128.080933,64169861.10022,27.693914,53.662122,3314128.080933,64169861.10022,27.693914,53.662122;8899308.688881,204788641.786427,27.446715,94.900763,8899308.688881,204788641.786427,27.446715,94.900763;1043777.437047,43703648.185893,28.372231,44.423146,1043777.437047,43703648.185893,28.372231,44.423146
0;1390306.157063,50956425.892392,27.580785,47.037461,1390306.157063,50956425.892392,27.580785,47.037461;2024686.63759,50382559.093217,27.772825,47.754127,2024686.63759,50382559.093217,27.772825,47.754127;3314128.177767,64169867.009067,27.693915,53.662124,3314128.177767,64169867.009067,27.693915,53.662124;8899816.731361,204821381.623913,27.44814,94.912815,8899816.731361,204821381.623913,27.44814,94.912815;1043777.544089,43703656.698496,28.372233,44.423152,1043777.544089,43703656.698496,28.372233,44.423152
0;1390306.37657,50956431.313376,27.580785,47.037464,1390306.37657,50956431.313376,27.580785,47.037464;2024686.831798,50382565.009052,27.772826,47.75413,2024686.831798,50382565.009052,27.772826,47.75413;3314128.294411,64169873.335735,27.693915,53.662127,3314128.294411,64169873.335735,27.693915,53.662127;8925959.208671,205908694.366101,27.433142,95.120204,8925959.208671,205908694.366101,27.433142,95.120204;1043777.735217,43703660.112369,28.372235,44.423155,1043777.735217,43703660.112369,28.372235,44.423155
0;1390306.557103,50956437.044413,27.580788,47.03747,1390306.557103,50956437.044413,27.580788,47.03747;2024687.068512,50382573.185416,27.772829,47.754137,2024687.068512,50382573.185416,27.772829,47.754137;3314128.351891,64169878.610174,27.693916,53.66213,3314128.351891,64169878.610174,27.693916,53.66213;8958392.95623,206998078.831921,27.451942,95.40584,8958392.95623,206998078.831921,27.451942,95.40584;1043778.170534,43703666.79409,28.372237,44.423162,1043778.170534,43703666.79409,28.372237,44.423162
0;1390306.651549,50956444.872394,27.58079,47.037476,1390306.651549,50956444.872394,27.58079,47.037476;2024687.25104,50382582.258556,27.772832,47.754145,2024687.25104,50382582.258556,27.772832,47.754145;3314128.495173,64169882.02036,27.693916,53.662132,3314128.495173,64169882.02036,27.693916,53.662132;9001216.794609,207895558.358533,27.465045,95.657852,9001216.794609,207895558.358533,27.465045,95.657852;1043778.211724,43703674.593299,28.372239,44.423167,1043778.211724,43703674.593299,28.372239,44.423167
0;1390307.038281,50956454.232743,27.580794,47.037484,1390307.038281,50956454.232743,27.580794,47.037484;2024687.819367,50382595.508253,27.772837,47.754155,2024687.819367,50382595.508253,27.772837,47.754155;3314129.238578,64169886.691423,27.693916,53.662135,3314129.238578,64169886.691423,27.693916,53.662135;9036938.183281,208012311.590588,27.45954,95.685969,9036938.183281,208012311.590588,27.45954,95.685969;1043778.735331,43703692.369091,28.372241,44.423178,1043778.735331,43703692.369091,28.372241,44.423178
0;1390307.202501,50956460.836682,27.580796,47.037488,1390307.202501,50956460.836682,27.580796,47.037488;2024687.917253,50382602.969104,27.772839,47.75416,2024687.917253,50382602.969104,27.772839,47.75416;3314129.445757,64169890.913114,27.693917,53.662137,3314129.445757,64169890.913114,27.693917,53.662137;9037066.051258,208012723.878073,27.459516,95.686063,9037066.051258,208012723.878073,27.459516,95.686063;1043779.356623,43703702.974336,28.372242,44.423184,1043779.356623,43703702.974336,28.372242,44.423184
0;1390307.378706,50956466.988557,27.580796,47.037491,1390307.378706,50956466.988557,27.580796,47.037491;2024688.214671,50382614.011441,27.772839,47.754165,2024688.214671,50382614.011441,27.772839,47.754165;3314129.500488,64169894.47593,27.693917,53.662138,3314129.500488,64169894.47593,27.693917,53.662138;9037066.312177,208012733.02033,27.459516,95.686065,9037066.312177,208012733.02033,27.459516,95.686065;1043779.983697,43703707.734358,28.372242,44.423187,1043779.983697,43703707.734358,28.372242,44.423187
0;1390307.42423,50956475.78778,27.580798,47.037496,1390307.42423,50956475.78778,27.580798,47.037496;2024688.697083,50382624.989566,27.772842,47.754172,2024688.697083,50382624.989566,27.772842,47.754172;3314632.423088,64202580.720193,27.706782,53.688476,3314632.423088,64202580.720193,27.706782,53.688476;9079729.523359,211168734.429998,27.452826,96.375554,9079729.523359,211168734.429998,27.452826,96.375554;1043780.593901,43703720.618405,28.372243,44.423195,1043780.593901,43703720.618405,28.372243,44.423195
