Estimulo;C1;C2;C3;C4;C5
0;338862.041626,24406383.290687,32.554581,36.015291,338862.041626,24406383.290687,32.554581,36.015291;827226.017817,35006427.550653,29.756158,40.714674,827226.017817,35006427.550653,29.756158,40.714674;403919.3576,24088923.741042,32.999874,36.18631,403919.3576,24088923.741042,32.999874,36.18631;918079.984051,33047406.625424,30.629058,40.467956,918079.984051,33047406.625424,30.629058,40.467956;793821.88627,37113060.678997,29.93781,42.133562,793821.88627,37113060.678997,29.93781,42.133562
1;338862.434576,24406404.122558,32.554578,36.015303,338863.088529,24406415.104508,32.554579,36.015314;827226.912981,35006486.877969,29.756163,40.714711,827228.911419,35006519.507447,29.756174,40.714746;403920.810794,24089051.694428,32.999874,36.186403,403924.416347,24089155.358787,32.999884,36.186506;918081.667644,33047658.41926,30.629085,40.468128,918086.499967,33047898.02229,30.629122,40.468327;793822.173036,37113083.764363,29.937811,42.133574,793823.32956,37113095.428217,29.937814,42.133585
2;338863.476317,24406420.885595,32.55458,36.015319,338863.700218,24406453.739695,32.554578,36.01534;827229.403534,35006544.510122,29.756178,40.714762,827229.717956,35006573.279721,29.756199,40.714801;403925.122164,24089221.616485,32.999884,36.18655,403926.385577,24089297.613206,32.999924,36.186661;918087.670666,33048028.341935,30.629132,40.468407,918089.049346,33048180.86098,30.629223,40.468608;793823.621583,37113104.299792,29.937816,42.133591,793824.205986,37113117.799443,29.937822,42.133606
1;338863.778434,24406468.675127,32.554581,36.015355,338866.147836,24406514.503546,32.554571,36.01538;827230.43633,35006607.682874,29.756215,40.714839,827235.004015,35006731.617589,29.756209,40.714904;403928.397666,24089385.227677,32.999948,36.186759,403937.333209,24089690.236214,32.999897,36.186937;918093.513111,33048344.095048,30.629293,40.468787,918108.845933,33048937.7349,30.629261,40.469106;793824.678327,37113126.800812,29.937827,42.133616,793827.137545,37113170.692393,29.937823,42.133638
1;338866.336241,24406526.146282,32.554572,36.01539,338867.226605,24406552.149232,32.554571,36.015407;827235.296272,35006795.878817,29.756217,40.714946,827236.612126,35006854.725113,29.756236,40.714995;403938.338326,24089867.540787,32.999891,36.18706,403941.098575,24089989.106392,32.99993,36.187181;918110.914297,33049290.235382,30.629278,40.469327,918114.832771,33049526.592234,30.629377,40.469547;793827.223904,37113187.615536,29.937825,42.133649,793828.378569,37113211.150039,29.937829,42.133666
0;338867.585153,24406590.174388,32.554567,36.01543,338867.585153,24406590.174388,32.554567,36.01543;827238.073283,35006910.11192,29.756246,40.715037,827238.073283,35006910.11192,29.756246,40.715037;403944.328356,24090096.746848,32.999945,36.187283,403944.328356,24090096.746848,32.999945,36.187283;918119.878977,33049748.075939,30.629426,40.469733,918119.878977,33049748.075939,30.629426,40.469733;793828.916507,37113237.62856,29.93783,42.133682,793828.916507,37113237.62856,29.93783,42.133682
2;338869.188377,24406603.132347,32.554568,36.015443,338870.562297,24406621.621416,32.554565,36.015455;827239.71163,35006955.523207,29.756263,40.715081,827240.762939,35007002.59496,29.756266,40.71511;403946.678442,24090215.963334,32.999965,36.187401,403947.720884,24090318.239457,32.999964,36.187473;918122.363241,33049964.887177,30.629493,40.469939,918123.035087,33050153.855471,30.629518,40.470066;793829.656912,37113256.203436,29.937833,42.133696,793830.338058,37113279.307419,29.937833,42.133709
2;338870.58787,24406632.004082,32.554564,36.015462,338872.145776,24406664.590027,32.554566,36.015486;827240.823054,35007034.484806,29.75627,40.715132,827241.934089,35007093.700209,29.756312,40.715198;403947.857041,24090392.511456,32.999967,36.187531,403949.263149,24090526.299085,33.000062,36.187702;918123.41158,33050290.535284,30.629536,40.470166,918124.314335,33050539.540422,30.629742,40.470476;793830.35016,37113289.764714,29.937834,42.133716,793831.711551,37113317.866261,29.937844,42.133739
2;338872.317434,24406679.232871,32.554566,36.015497,338872.449623,24406692.953828,32.554567,36.01551;827242.34777,35007150.791989,29.756321,40.715238,827242.787939,35007171.241009,29.756336,40.715268;403950.313388,24090668.965183,33.000067,36.187812,403950.925366,24090710.038216,33.000097,36.187885;918125.794651,33050817.987692,30.629782,40.470676,918127.261568,33050892.602968,30.629845,40.470802;793832.017195,37113335.969189,29.937847,42.133753,793832.54567,37113346.519935,29.937851,42.133765
1;338873.662029,24406712.31533,32.554565,36.015523,338875.256329,24406739.849191,32.554558,36.015538;827244.249903,35007213.202913,29.756343,40.7153,827245.796678,35007282.041154,29.756342,40.715337;403953.151477,24090805.241448,33.000105,36.187965,403955.24841,24090936.453914,33.000094,36.188049;918129.419854,33051069.1001,30.629882,40.470943,918131.532578,33051310.506564,30.62989,40.471086;793833.40534,37113367.521805,29.937853,42.133779,793834.041069,37113393.408661,29.937852,42.133792
