Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 12:24:57.713913;2025-05-15 12:25:00.628919;997756.574565,35686432.392646,28.709151,40.212971;1055682.144945,36681943.977988,28.475477,40.58462;1178289.263219,36869584.451933,28.405669,40.723653;1238743.083282,34714756.444434,29.445278,40.626111;1187081.406805,37213886.544158,28.322964,40.825166
2025-05-15 12:25:00.631909;2025-05-15 12:25:01.394729;997757.059656,35686438.503567,28.709156,40.212979;1055682.53501,36681954.840674,28.475481,40.58463;1178289.562708,36869587.05066,28.405672,40.723657;1238743.573512,34714759.894793,29.445281,40.626115;1187082.12173,37213893.769282,28.322966,40.825172
2025-05-15 12:25:01.395724;2025-05-15 12:25:02.621588;997758.830503,35686531.677024,28.709199,40.213066;1055685.52169,36682124.213217,28.475548,40.584778;1178290.643754,36869639.55301,28.405696,40.723704;1238744.525002,34714806.315176,29.445299,40.626157;1187083.905336,37213994.857645,28.323002,40.825256
2025-05-15 12:25:02.640545;2025-05-15 12:25:03.508079;997758.909868,35686538.297926,28.7092,40.213071;1055685.757609,36682131.211494,28.475551,40.584784;1178290.784238,36869644.770916,28.405696,40.723708;1238744.678876,34714811.10167,29.445299,40.62616;1187084.024898,37214000.379769,28.323003,40.82526
2025-05-15 12:25:03.509077;2025-05-15 12:25:04.695849;997773.013214,35686685.889138,28.709287,40.213255;1055704.841487,36682310.500351,28.475669,40.585017;1178293.22474,36869684.04137,28.405733,40.723766;1238746.429354,34714845.045995,29.445327,40.626209;1187096.745697,37214103.147249,28.323054,40.825381
2025-05-15 12:25:04.698841;2025-05-15 12:25:05.573794;997803.830036,35686974.666744,28.709219,40.213396;1055767.820179,36682865.691774,28.475554,40.585284;1178304.527365,36869811.71887,28.405711,40.723827;1238754.572291,34714949.020499,29.445307,40.626259;1187132.511451,37214340.948059,28.323003,40.825501
2025-05-15 12:25:05.575789;2025-05-15 12:25:06.355183;997804.108452,35687006.854641,28.709241,40.21343;1055768.994011,36682918.538517,28.47559,40.585342;1178305.012199,36869829.543049,28.405722,40.723846;1238754.904041,34714964.909899,29.445316,40.626275;1187133.015037,37214369.243089,28.323021,40.82553
2025-05-15 12:25:06.356178;2025-05-15 12:25:07.294408;997806.019435,35687034.246916,28.709258,40.213462;1055771.00187,36682973.205524,28.475618,40.585398;1178305.89625,36869845.579434,28.405731,40.723863;1238755.566266,34714978.43739,29.445323,40.626289;1187133.953716,37214401.481373,28.323034,40.825559
2025-05-15 12:25:07.296402;2025-05-15 12:25:08.059822;997806.505092,35687042.39982,28.709269,40.213478;1055771.21642,36682982.732291,28.475624,40.58541;1178305.98939,36869850.13584,28.405733,40.723868;1238755.615194,34714982.267074,29.445325,40.626293;1187133.981894,37214405.87589,28.323038,40.825565
2025-05-15 12:25:08.060819;2025-05-15 12:25:09.042274;997806.785409,35687048.647303,28.709278,40.213491;1055771.693241,36682995.239667,28.475639,40.585434;1178306.200589,36869855.285842,28.405739,40.723876;1238755.824646,34714987.327912,29.445329,40.6263;1187134.302107,37214413.64255,28.323046,40.825579
