Start_time;End_time;C1;C2;C3;C4;C5
2025-04-01 11:01:20.711628;2025-04-01 11:01:22.190375;919722.017108,41103831.264277,27.897822,42.393852;2023532.085587,50354884.261237,27.768248,47.737587;3178172.592622,60785323.032168,27.782675,52.364147;3491555.516945,91453031.190708,28.76037,64.937157;1043206.456584,43689239.041453,28.369297,44.413681
2025-04-01 11:01:22.191372;2025-04-01 11:01:22.874272;919722.542354,41103886.55038,27.897819,42.393878;2023532.694715,50354947.951806,27.768245,47.737612;3178172.888651,60785373.005324,27.782673,52.364166;3491555.713363,91453089.745627,28.76037,64.937176;1043206.675088,43689290.854935,28.369294,44.413704
2025-04-01 11:01:22.874272;2025-04-01 11:01:23.319594;919722.55928,41103890.334476,27.897819,42.39388;2023532.879783,50354953.973721,27.768245,47.737615;3178172.906377,60785375.826167,27.782673,52.364167;3491555.767548,91453092.943875,28.76037,64.937178;1043206.735091,43689293.483553,28.369295,44.413706
2025-04-01 11:01:23.321590;2025-04-01 11:01:23.754025;919722.588136,41103903.567642,27.897821,42.393887;2023532.99884,50354966.585665,27.768247,47.737623;3178172.964949,60785384.832596,27.782674,52.364172;3491555.905532,91453106.864164,28.760372,64.937184;1043206.886603,43689301.498091,28.369297,44.413711
2025-04-01 11:01:23.755023;2025-04-01 11:01:24.703331;919722.877422,41103914.51074,27.897822,42.393894;2023533.493707,50354980.024955,27.768249,47.73763;3178173.272124,60785397.033536,27.782675,52.364177;3491556.302576,91453124.455829,28.760373,64.937191;1043207.290956,43689313.338326,28.369298,44.413718
2025-04-01 11:01:24.704329;2025-04-01 11:01:25.769102;919723.143288,41103921.86039,27.897824,42.393899;2023533.670991,50354992.055489,27.768251,47.737637;3178173.448338,60785402.781231,27.782676,52.364181;3491556.594168,91453133.865654,28.760374,64.937196;1043207.420995,43689320.285664,28.3693,44.413722
2025-04-01 11:01:25.769102;2025-04-01 11:01:26.824390;919723.390458,41103928.617113,27.897827,42.393906;2023533.878588,50355004.866742,27.768254,47.737647;3178173.642289,60785408.891177,27.782678,52.364185;3491556.899384,91453144.645768,28.760378,64.937205;1043207.530465,43689325.587227,28.369302,44.413727
2025-04-01 11:01:26.825418;2025-04-01 11:01:27.872645;919724.385981,41103942.445727,27.897828,42.393914;2023534.963291,50355024.324559,27.768256,47.737657;3178174.409281,60785421.186624,27.782678,52.364191;3491557.612103,91453161.275132,28.760379,64.937212;1043208.189983,43689338.221381,28.369303,44.413734
2025-04-01 11:01:27.872645;2025-04-01 11:01:28.938931;919724.535297,41103950.422268,27.897831,42.393919;2023535.063078,50355045.110154,27.768258,47.737667;3178174.531594,60785428.060326,27.78268,52.364195;3491557.825642,91453174.85113,28.760382,64.93722;1043208.395308,43689344.819422,28.369306,44.413739
2025-04-01 11:01:28.938931;2025-04-01 11:01:30.003130;919724.663469,41103960.706293,27.897832,42.393926;2023535.421949,50355061.397661,27.76826,47.737677;3178174.756924,60785437.096805,27.782681,52.3642;3491557.946863,91453191.282025,28.760384,64.937227;1043208.579709,43689357.154031,28.369306,44.413746
2025-04-01 11:01:30.004127;2025-04-01 11:01:31.059120;919728.480345,41104015.136624,27.897828,42.393952;2023539.016521,50355131.214174,27.768257,47.737707;3178176.203416,60785471.926103,27.78268,52.364214;3491560.877201,91453248.445543,28.760383,64.937248;1043210.146034,43689395.906464,28.369305,44.413764
2025-04-01 11:01:31.059903;2025-04-01 11:01:32.122474;919728.746421,41104025.160853,27.897829,42.393958;2023539.820299,50355141.942531,27.768259,47.737714;3178176.247088,60785480.128075,27.782681,52.364218;3491561.075824,91453260.301345,28.760385,64.937254;1043210.207801,43689404.130432,28.369306,44.41377
2025-04-01 11:01:32.123477;2025-04-01 11:01:33.180478;919728.976021,41104035.818227,27.897831,42.393965;2023540.567674,50355156.461084,27.76826,47.737721;3178176.471621,60785490.526907,27.782682,52.364223;3491561.433786,91453279.479137,28.760386,64.937262;1043210.579955,43689416.287415,28.369307,44.413776
2025-04-01 11:01:33.181475;2025-04-01 11:01:34.237167;919729.090707,41104051.962276,27.897834,42.393974;2023540.735444,50355179.930948,27.768264,47.737734;3178176.562494,60785503.003822,27.782684,52.364229;3491561.57967,91453295.340002,28.760389,64.93727;1043210.697911,43689424.857174,28.369309,44.413782
2025-04-01 11:01:34.238132;2025-04-01 11:01:35.299744;919729.194578,41104058.886402,27.897836,42.393979;2023541.135008,50355190.006802,27.768266,47.737741;3178176.597027,60785507.588217,27.782685,52.364232;3491561.634224,91453300.392898,28.760391,64.937274;1043210.792895,43689427.723355,28.369311,44.413785
2025-04-01 11:01:35.300741;2025-04-01 11:01:36.351860;919729.528642,41104064.732787,27.897838,42.393984;2023542.231913,50355199.840653,27.768268,47.737748;3178176.887057,60785511.068519,27.782686,52.364235;3491562.107318,91453307.315091,28.760394,64.937281;1043211.221507,43689430.949699,28.369314,44.41379
2025-04-01 11:01:36.351860;2025-04-01 11:01:37.416415;919729.641948,41104069.891208,27.897841,42.393989;2023542.851338,50355220.005647,27.768269,47.737758;3178176.982891,60785515.876079,27.782687,52.364238;3491562.32389,91453316.87541,28.760395,64.937286;1043211.308655,43689435.599243,28.369316,44.413793
2025-04-01 11:01:37.416415;2025-04-01 11:01:38.476728;919729.901865,41104075.676047,27.897842,42.393993;2023543.033852,50355229.246579,27.768271,47.737763;3178177.164644,60785520.444488,27.782688,52.364241;3491562.468564,91453326.732558,28.760397,64.937292;1043211.442827,43689440.777957,28.369317,44.413797
2025-04-01 11:01:38.477725;2025-04-01 11:01:39.537675;919729.962612,41104083.710866,27.897845,42.393999;2023543.257261,50355255.326748,27.768274,47.737777;3178177.208463,60785527.563873,27.78269,52.364245;3491562.585636,91453342.61762,28.7604,64.9373;1043211.525001,43689448.487238,28.36932,44.413803
2025-04-01 11:01:39.538673;2025-04-01 11:01:40.584010;919729.96922,41104088.527789,27.897846,42.394002;2023543.346233,50355262.780386,27.768275,47.737781;3178177.337252,60785534.150794,27.78269,52.364248;3491562.592278,91453349.545756,28.7604,64.937303;1043211.530128,43689451.552164,28.36932,44.413805
2025-04-01 11:01:40.585008;2025-04-01 11:01:41.662903;919730.004427,41104096.394757,27.897849,42.394009;2023543.530532,50355278.512162,27.768278,47.737792;3178177.357082,60785540.368884,27.782692,52.364253;3491562.669397,91453363.132311,28.760404,64.937313;1043211.565379,43689458.500588,28.369324,44.413812
2025-04-01 11:01:41.664076;2025-04-01 11:01:42.722175;919730.155862,41104100.853013,27.897851,42.394013;2023543.587987,50355289.342835,27.76828,47.737798;3178177.384868,60785544.757273,27.782693,52.364255;3491562.688131,91453371.980586,28.760406,64.937318;1043211.591284,43689464.556871,28.369326,44.413816
2025-04-01 11:01:42.723175;2025-04-01 11:01:43.780230;919730.283917,41104104.078024,27.897853,42.394016;2023544.056439,50355294.035671,27.768283,47.737803;3178177.448285,60785548.810485,27.782694,52.364258;3491562.786674,91453381.127387,28.760408,64.937323;1043211.679735,43689469.454906,28.369328,44.41382
2025-04-01 11:01:43.781225;2025-04-01 11:01:44.853809;919730.455109,41104111.97616,27.897856,42.394021;2023544.262766,50355304.447009,27.768285,47.737809;3178177.545866,60785553.915781,27.782695,52.364261;3491563.103217,91453389.826013,28.760409,64.937328;1043211.861723,43689475.331955,28.369329,44.413824
2025-04-01 11:01:44.853809;2025-04-01 11:01:45.905565;919731.283556,41104127.435072,27.897855,42.394029;2023544.966293,50355325.141713,27.768284,47.737818;3178178.257284,60785562.295485,27.782696,52.364265;3491564.025733,91453407.904601,28.76041,64.937335;1043212.699984,43689484.002165,28.369329,44.413829
2025-04-01 11:01:45.906562;2025-04-01 11:01:46.949760;919731.447989,41104135.198579,27.897856,42.394034;2023545.302396,50355338.166975,27.768286,47.737826;3178178.504887,60785569.724722,27.782696,52.364269;3491564.316112,91453420.535029,28.760411,64.937342;1043212.974001,43689490.980796,28.369331,44.413834
2025-04-01 11:01:46.950770;2025-04-01 11:01:48.034512;919731.489038,41104141.868939,27.897858,42.394038;2023545.414302,50355348.067732,27.768288,47.737832;3178178.678317,60785575.095895,27.782697,52.364272;3491564.406007,91453430.844326,28.760413,64.937347;1043213.013513,43689496.220954,28.369332,44.413837
2025-04-01 11:01:48.034512;2025-04-01 11:01:49.081146;919731.79108,41104152.375266,27.89786,42.394045;2023545.728851,50355362.565388,27.768291,47.73784;3178178.890656,60785582.070121,27.782698,52.364276;3491564.625911,91453442.387645,28.760415,64.937353;1043213.140096,43689504.02343,28.369333,44.413842
2025-04-01 11:01:49.082146;2025-04-01 11:01:50.136241;919731.99846,41104155.955134,27.897861,42.394048;2023546.202958,50355367.505621,27.768292,47.737844;3178179.151675,60785586.753483,27.782699,52.364278;3491564.97169,91453450.464525,28.760415,64.937357;1043213.335967,43689509.43886,28.369334,44.413845
2025-04-01 11:01:50.137239;2025-04-01 11:01:51.197820;919732.0276,41104160.012729,27.897863,42.394051;2023546.278341,50355374.113305,27.768294,47.737849;3178179.201467,60785589.516121,27.782699,52.36428;3491564.996828,91453458.278818,28.760417,64.937362;1043213.391745,43689514.045185,28.369336,44.413849
2025-04-01 11:01:51.209263;2025-04-01 11:01:52.281962;919732.400293,41104180.787491,27.897876,42.394074;2023546.662302,50355405.146505,27.768308,47.737878;3178179.287852,60785602.648389,27.782704,52.364291;3491565.162659,91453490.167888,28.760427,64.937387;1043213.506676,43689528.686247,28.369343,44.413864
2025-04-01 11:01:52.282960;2025-04-01 11:01:53.311787;919732.778989,41104190.285921,27.897878,42.394081;2023547.127496,50355416.593128,27.768311,47.737885;3178179.497664,60785609.616538,27.782705,52.364295;3491565.361056,91453499.697396,28.760429,64.937393;1043213.742578,43689534.306324,28.369345,44.413868
2025-04-01 11:01:53.312784;2025-04-01 11:01:54.383486;919733.35942,41104197.437409,27.897879,42.394085;2023548.056967,50355428.699144,27.768312,47.737892;3178179.910241,60785615.356571,27.782706,52.364297;3491565.945135,91453510.940614,28.76043,64.937398;1043214.320814,43689542.548431,28.369346,44.413872
2025-04-01 11:01:54.384483;2025-04-01 11:01:55.441443;919733.509942,41104203.558403,27.89788,42.394089;2023548.479063,50355438.754022,27.768312,47.737898;3178180.016088,60785619.323851,27.782707,52.3643;3491566.276814,91453517.441579,28.760431,64.937402;1043214.436119,43689546.037041,28.369347,44.413875
2025-04-01 11:01:55.443449;2025-04-01 11:01:56.496998;919734.352719,41104249.277967,27.897898,42.394129;2023550.332169,50355503.261462,27.768334,47.737949;3178180.334175,60785641.227595,27.782713,52.364316;3491567.18394,91453576.786144,28.760446,64.937443;1043214.893287,43689570.616565,28.36936,44.4139
2025-04-01 11:01:56.498033;2025-04-01 11:01:57.550551;919734.816031,41104255.839681,27.897901,42.394135;2023550.940115,50355513.73013,27.768337,47.737957;3178180.483603,60785647.213402,27.782715,52.36432;3491567.496003,91453589.416036,28.760449,64.93745;1043215.004064,43689576.323692,28.369363,44.413905
2025-04-01 11:01:57.551546;2025-04-01 11:01:58.615111;919735.128363,41104263.586153,27.897904,42.394141;2023551.2633,50355526.457297,27.76834,47.737965;3178180.94398,60785654.555495,27.782716,52.364324;3491568.048235,91453600.995226,28.760451,64.937457;1043215.560237,43689585.222758,28.369364,44.413911
2025-04-01 11:01:58.616109;2025-04-01 11:01:59.683196;919735.495017,41104272.506319,27.897905,42.394147;2023551.664807,50355544.56114,27.768341,47.737974;3178181.110115,60785662.977132,27.782716,52.364328;3491568.109472,91453615.460586,28.760452,64.937463;1043215.609086,43689593.868798,28.369365,44.413916
2025-04-01 11:01:59.684162;2025-04-01 11:02:00.732341;919735.840152,41104279.595202,27.897907,42.394152;2023551.945837,50355553.320718,27.768343,47.73798;3178181.330353,60785669.618118,27.782717,52.364332;3491568.324048,91453631.095288,28.760453,64.93747;1043215.762931,43689602.884211,28.369367,44.413921
2025-04-01 11:02:00.733338;2025-04-01 11:02:01.806783;919736.073164,41104288.995167,27.897909,42.394159;2023552.508598,50355565.619894,27.768346,47.737988;3178181.450104,60785676.826048,27.782718,52.364336;3491568.448093,91453644.742364,28.760456,64.937478;1043215.855853,43689612.670185,28.369369,44.413928
2025-04-01 11:02:01.807781;2025-04-01 11:02:02.874420;919736.238765,41104307.519544,27.897911,42.394169;2023552.551613,50355587.073281,27.768349,47.738;3178181.503904,60785691.998419,27.782719,52.364343;3491568.504376,91453669.72242,28.760458,64.937488;1043215.889224,43689627.194412,28.36937,44.413935
2025-04-01 11:02:02.875418;2025-04-01 11:02:03.933487;919737.518206,41104320.38104,27.897911,42.394176;2023553.544001,50355604.969982,27.76835,47.738009;3178181.84428,60785701.711775,27.78272,52.364347;3491569.279061,91453686.850563,28.760458,64.937495;1043216.507725,43689639.085851,28.369371,44.413942
2025-04-01 11:02:03.933487;2025-04-01 11:02:04.986450;919738.517545,41104336.337644,27.897912,42.394185;2023556.041008,50355622.439912,27.76835,47.738018;3178182.325867,60785707.27143,27.782721,52.36435;3491570.515185,91453703.539916,28.76046,64.937503;1043216.858667,43689650.083586,28.369373,44.413948
2025-04-01 11:02:04.987448;2025-04-01 11:02:06.031486;919738.943024,41104351.04284,27.897914,42.394193;2023557.188519,50355639.453973,27.768352,47.738028;3178182.479474,60785718.681382,27.782722,52.364356;3491570.868171,91453723.083919,28.760462,64.937512;1043217.035547,43689660.845408,28.369374,44.413955
