Start_time;End_time;C1;C2;C3;C4;C5
2025-04-08 16:18:41.163402;2025-04-08 16:18:42.696067;7803916.929693,132780041.871571,28.368137,78.966656;1322069.169404,39633157.33877,31.159888,45.305993;1442205.170694,96588779.147546,30.090781,67.978406;1937239.374353,73705094.755918,30.415123,60.367215;14326637.093627,389105390.894817,29.877997,138.902897
2025-04-08 16:18:42.698060;2025-04-08 16:18:43.290266;7803917.50616,132780050.547488,28.368136,78.966658;1322069.922917,39633166.751784,31.159887,45.305997;1442206.08468,96588791.277118,30.09078,67.978409;1937240.1742,73705107.460133,30.415122,60.367219;14326638.043194,389105405.114421,29.877996,138.902899
2025-04-08 16:18:43.291263;2025-04-08 16:18:43.765508;7803917.715279,132780057.25476,28.368137,78.966661;1322070.404609,39633172.369035,31.159887,45.306001;1442206.538448,96588798.226795,30.09078,67.978412;1937240.520138,73705114.411405,30.415122,60.367221;14326638.468126,389105411.707273,29.877996,138.9029
2025-04-08 16:18:43.771495;2025-04-08 16:18:44.493530;7803917.88637,132780059.605519,28.368137,78.966661;1322070.759203,39633176.45332,31.159888,45.306005;1442206.741924,96588802.033027,30.09078,67.978414;1937240.691705,73705118.170411,30.415122,60.367223;14326638.757319,389105415.430201,29.877996,138.9029
2025-04-08 16:18:44.494527;2025-04-08 16:18:45.031074;7803917.911026,132780062.734825,28.368137,78.966663;1322070.820817,39633182.076734,31.15989,45.30601;1442206.770464,96588805.655631,30.09078,67.978416;1937240.718659,73705121.273693,30.415122,60.367225;14326638.799477,389105418.868442,29.877996,138.902901
2025-04-08 16:18:45.032071;2025-04-08 16:18:45.466803;7803918.457549,132780069.465351,28.368137,78.966665;1322071.083911,39633190.514313,31.15989,45.306015;1442207.367666,96588813.317185,30.09078,67.978418;1937241.085459,73705129.231756,30.415122,60.367228;14326639.101698,389105425.879811,29.877996,138.902902
2025-04-08 16:18:45.467800;2025-04-08 16:18:46.411775;7803918.574614,132780073.295145,28.368137,78.966667;1322071.444827,39633195.005659,31.159892,45.306019;1442207.553398,96588818.118486,30.09078,67.97842;1937241.347074,73705131.991695,30.415122,60.367229;14326639.483623,389105428.917811,29.877996,138.902903
2025-04-08 16:18:46.412770;2025-04-08 16:18:47.433859;7803918.607231,132780079.068581,28.368138,78.966668;1322071.495051,39633202.557351,31.159892,45.306022;1442207.628139,96588822.663479,30.09078,67.978421;1937241.444935,73705136.028765,30.415122,60.367231;14326639.550081,389105432.653074,29.877996,138.902904
2025-04-08 16:18:47.434856;2025-04-08 16:18:48.449635;7803918.622281,132780083.063677,28.368138,78.96667;1322071.511977,39633210.759499,31.159893,45.306028;1442207.688162,96588827.724828,30.09078,67.978423;1937241.485925,73705141.256988,30.415122,60.367233;14326639.574585,389105437.071014,29.877996,138.902905
2025-04-08 16:18:48.450600;2025-04-08 16:18:49.466046;7803918.708394,132780088.270829,28.368138,78.966671;1322071.57407,39633217.60265,31.159893,45.306032;1442207.733831,96588832.157154,30.09078,67.978425;1937241.540589,73705145.520118,30.415122,60.367234;14326639.602424,389105441.52493,29.877996,138.902905
2025-04-08 16:18:49.469041;2025-04-08 16:18:50.530377;7803918.912161,132780091.772168,28.368138,78.966673;1322071.603617,39633220.679955,31.159894,45.306035;1442207.994535,96588834.471729,30.09078,67.978426;1937241.585131,73705146.858833,30.415122,60.367235;14326639.614432,389105443.263455,29.877996,138.902906
