Start_time;End_time;C1;C2;C3;C4;C5
2025-05-08 17:02:17.023875;2025-05-08 17:02:17.985565;20065387.364259,465879733.550765,25.055221,137.083449;20656412.3281,372412390.039657,26.382827,127.047769;19386270.931682,391094923.690277,24.688669,124.958642;32629223.564596,747721806.87403,26.149506,176.972215;15349478.157691,324795791.312729,24.563013,113.262346
2025-05-08 17:02:17.986565;2025-05-08 17:02:18.324310;20065387.578051,465879745.400421,25.055222,137.083452;20656412.420741,372412399.264211,26.382827,127.047771;19386270.963026,391094927.90922,24.688669,124.958643;32629223.612009,747721811.645936,26.149506,176.972215;15349478.299012,324795804.358661,24.563013,113.26235
2025-05-08 17:02:18.325236;2025-05-08 17:02:18.619758;20065388.111386,465879763.478985,25.055222,137.083456;20656412.83247,372412415.839214,26.382827,127.047774;19386271.337219,391094941.407938,24.688669,124.958645;32629224.014902,747721824.902653,26.149506,176.972217;15349478.771918,324795822.506421,24.563014,113.262353
2025-05-08 17:02:18.621661;2025-05-08 17:02:18.939326;20065388.245165,465879772.65944,25.055223,137.083459;20656412.921458,372412422.75987,26.382828,127.047777;19386271.391129,391094944.860097,24.688669,124.958646;32629224.097474,747721828.151619,26.149506,176.972218;15349478.990681,324795834.456653,24.563015,113.262358
2025-05-08 17:02:18.939326;2025-05-08 17:02:20.006546;20065388.433902,465879785.860415,25.055223,137.083463;20656413.001147,372412434.568159,26.382828,127.047781;19386271.595971,391094950.168009,24.688669,124.958648;32629224.285383,747721834.250301,26.149506,176.972219;15349479.182283,324795852.094929,24.563016,113.262364
2025-05-08 17:02:20.008541;2025-05-08 17:02:21.050455;20065388.485034,465879800.40418,25.055224,137.083467;20656413.047712,372412446.088241,26.382829,127.047784;19386271.62406,391094954.481961,24.68867,124.958649;32629224.298205,747721839.401246,26.149506,176.97222;15349479.263039,324795871.67987,24.563018,113.26237
2025-05-08 17:02:21.051453;2025-05-08 17:02:22.121985;20065388.796347,465879812.510368,25.055225,137.08347;20656413.31419,372412456.334315,26.382829,127.047786;19386271.789023,391094961.464528,24.68867,124.95865;32629224.394715,747721845.302444,26.149507,176.972221;15349479.654899,324795885.288477,24.563018,113.262374
2025-05-08 17:02:22.122982;2025-05-08 17:02:23.178212;20065389.195511,465879827.026209,25.055226,137.083474;20656413.655208,372412468.308733,26.38283,127.04779;19386271.986929,391094965.511648,24.68867,124.958652;32629224.525581,747721849.294683,26.149507,176.972222;15349479.859107,324795899.529112,24.56302,113.262379
2025-05-08 17:02:23.179209;2025-05-08 17:02:24.234875;20065389.612731,465879841.272125,25.055226,137.083478;20656414.046226,372412480.477329,26.38283,127.047793;19386272.508212,391094970.914108,24.68867,124.958653;32629224.988562,747721854.061316,26.149507,176.972223;15349480.115956,324795916.10523,24.56302,113.262383
2025-05-08 17:02:24.235871;2025-05-08 17:02:25.291249;20065390.359943,465879870.021604,25.055227,137.083485;20656415.023121,372412505.115593,26.382831,127.047799;19386272.659306,391094979.290349,24.688671,124.958655;32629225.287686,747721862.023123,26.149507,176.972224;15349481.437363,324795957.302822,24.563022,113.262394
