Estimulo;C1;C2;C3;C4;C5
0;862424.667317,36268735.79596,28.625142,40.420436;1165572.769948,37263833.510456,28.268503,40.896651;1125951.991835,36753035.334304,28.440165,40.687178;763009.194782,36642232.285671,29.142363,41.072495;881309.775689,35920553.250936,28.681433,40.300586
0;862426.496338,36268761.925305,28.625153,40.420466;1165574.563404,37263878.983335,28.268524,40.896703;1125954.171997,36753053.67802,28.44017,40.687197;763011.240042,36642248.413035,29.142367,41.072511;881311.785629,35920579.554396,28.681443,40.300615
0;862427.809516,36268786.878867,28.625169,40.420494;1165576.723003,37263921.214022,28.26855,40.896751;1125955.196762,36753068.777864,28.44018,40.687213;763012.114456,36642261.91296,29.142375,41.072526;881313.080616,35920602.020908,28.681457,40.300641
0;862428.096322,36268796.254751,28.62517,40.4205;1165576.992124,37263932.495615,28.268552,40.896758;1125955.508478,36753075.852344,28.440179,40.687217;763012.47633,36642268.777712,29.142374,41.072529;881313.331339,35920609.905126,28.681458,40.300646
0;862445.873825,36269462.702045,28.625306,40.420978;1165610.866288,37264895.680766,28.268715,40.897418;1125961.860086,36753286.200209,28.44023,40.687374;763017.669705,36642453.388203,29.142414,41.072666;881327.254567,35921053.557695,28.681536,40.300958
0;862450.546517,36269581.949464,28.625319,40.421055;1165620.760508,37264943.988307,28.268715,40.89745;1125964.301597,36753309.263079,28.440231,40.687388;763019.600654,36642475.799595,29.142414,41.072679;881334.0056,35921087.267461,28.681533,40.30098
0;862475.587323,36270169.277848,28.625285,40.421344;1165648.752238,37265381.949115,28.268715,40.897696;1125969.488917,36753412.351929,28.440235,40.687448;763024.518457,36642577.297206,29.142414,41.072736;881355.604696,35921357.763455,28.681526,40.301135
0;862478.02423,36270201.04164,28.625297,40.421374;1165656.279933,37265450.915055,28.26873,40.897751;1125970.535895,36753430.274659,28.440241,40.687464;763025.290064,36642595.977279,29.142419,41.072751;881358.132534,35921401.148308,28.681533,40.301166
0;862479.844208,36270251.004515,28.625326,40.421421;1165657.396736,37265514.49204,28.268753,40.897801;1125971.646974,36753454.69718,28.440248,40.687482;763026.444417,36642617.365798,29.142424,41.072767;881358.860795,35921432.167825,28.681547,40.301193
0;862480.650643,36270293.358015,28.625346,40.421458;1165657.936227,37265588.742654,28.268786,40.897862;1125972.129889,36753480.153534,28.440259,40.687503;763026.931197,36642640.40835,29.142433,41.072786;881359.328013,35921471.711331,28.681565,40.301227
0;862480.931509,36270310.846521,28.625357,40.421478;1165658.26639,37265620.97262,28.268805,40.897897;1125972.330799,36753488.144876,28.440265,40.687512;763027.133238,36642647.461488,29.142437,41.072794;881359.595501,35921488.224936,28.681573,40.301245
0;862481.202442,36270329.593292,28.625368,40.421497;1165658.936797,37265657.077689,28.268824,40.897931;1125972.590257,36753499.421664,28.44027,40.687523;763027.366368,36642658.246237,29.142441,41.072804;881359.915737,35921508.451322,28.681583,40.301264
0;862482.185535,36270363.118791,28.62538,40.421526;1165660.373865,37265717.472854,28.268846,40.897982;1125973.549823,36753520.904618,28.440276,40.68754;763028.243447,36642679.885795,29.142447,41.072821;881361.003781,35921542.780723,28.681594,40.301292
0;862482.249465,36270370.897529,28.625381,40.421532;1165660.436136,37265726.450852,28.268848,40.897991;1125973.573757,36753524.800414,28.440277,40.687543;763028.263897,36642683.217158,29.142447,41.072824;881361.07038,35921548.339957,28.681595,40.301296
2;862482.402573,36270389.337721,28.625392,40.421552;1165660.696113,37265754.418329,28.268868,40.898024;1125973.716382,36753535.436582,28.440282,40.687554;763028.371449,36642692.328252,29.142451,41.072833;881361.253696,35921564.052833,28.681605,40.301314
0;862483.931315,36270397.821509,28.6254,40.421565;1165663.235246,37265770.683819,28.268881,40.898047;1125974.5013,36753542.003942,28.440286,40.687561;763029.234608,36642699.319176,29.142453,41.072839;881362.829491,35921575.776312,28.68161,40.301326
0;862486.219276,36271587.098528,28.625752,40.422499;1165666.341976,37267400.308166,28.269323,40.899272;1125975.133298,36753885.874406,28.44041,40.687845;763029.638611,36643012.040398,29.142559,41.073099;881364.859514,35922396.110607,28.681824,40.301947
3;862486.303745,36271606.018375,28.625761,40.422516;1165666.585105,37267431.006287,28.269339,40.899301;1125975.232535,36753895.078219,28.440415,40.687854;763029.745389,36643019.625545,29.142563,41.073106;881364.959292,35922409.739609,28.681833,40.301961
0;862489.965294,36271890.940234,28.6259,40.422771;1165670.479609,37267712.348004,28.269511,40.899589;1125976.427658,36753955.760126,28.440463,40.687924;763031.195466,36643079.577519,29.142603,41.073172;881367.730664,35922547.61911,28.681918,40.302104
1;862490.523364,36271899.849207,28.625901,40.422777;1165670.655729,37267720.401597,28.269514,40.899595;1125976.461288,36753959.005602,28.440463,40.687927;763031.236968,36643083.413865,29.142603,41.073174;881367.842088,35922553.517293,28.681919,40.302108
0;862492.935018,36271996.841941,28.625958,40.422877;1165674.472707,37267893.362907,28.269595,40.899751;1125976.803422,36754006.846261,28.440487,40.68797;763031.408962,36643123.966996,29.142624,41.073213;881369.201046,35922641.844054,28.681959,40.302188
3;862493.034352,36272021.664063,28.62597,40.422899;1165674.577285,37267940.666981,28.269614,40.89979;1125976.882483,36754021.296205,28.440493,40.687982;763031.571231,36643138.943295,29.142629,41.073224;881369.276644,35922666.93739,28.681969,40.302209
0;862493.281489,36272053.345052,28.62598,40.422922;1165674.87157,37267980.996048,28.269629,40.899823;1125977.088986,36754035.542139,28.440497,40.687993;763031.74465,36643152.023688,29.142632,41.073234;881369.517063,35922690.320704,28.681977,40.302226
0;862496.106517,36272144.569572,28.625976,40.422971;1165676.695631,37268001.696277,28.269637,40.899844;1125977.515414,36754044.784116,28.4405,40.688001;763032.097342,36643163.994402,29.142634,41.073242;881370.441171,35922702.428271,28.681981,40.302238
1;862498.314411,36272154.992155,28.625987,40.422988;1165679.345155,37268018.335833,28.269656,40.899872;1125978.4113,36754048.817116,28.440507,40.68801;763032.89703,36643168.365177,29.142639,41.07325;881372.198768,35922712.306717,28.68199,40.302253
0;862504.762375,36272341.438288,28.626054,40.423158;1165688.363651,37268312.366241,28.269747,40.900122;1125980.176783,36754113.320586,28.440533,40.688069;763034.26184,36643227.359484,29.142661,41.073303;881377.036633,35922859.128683,28.682032,40.302377
3;862504.872349,36272367.062232,28.626064,40.423181;1165688.52568,37268358.814937,28.269764,40.90016;1125980.198398,36754127.038981,28.440538,40.688081;763034.277531,36643238.893438,29.142665,41.073313;881377.099063,35922883.762937,28.682041,40.302397
0;862504.998996,36272459.73368,28.62607,40.423234;1165688.988664,37268382.837518,28.269784,40.900191;1125980.571892,36754135.332986,28.440543,40.688089;763034.889299,36643247.778132,29.142669,41.073322;881377.359388,35922894.081004,28.682051,40.302412
1;862505.217698,36272491.478781,28.626076,40.423255;1165690.754438,37268424.905528,28.269797,40.900223;1125981.447746,36754150.2342,28.440546,40.6881;763035.986634,36643262.046186,29.142671,41.073332;881378.172413,35922919.011925,28.682057,40.30243
0;862520.099603,36272691.474399,28.62619,40.423462;1165714.796646,37268740.435153,28.269943,40.900519;1125986.306514,36754212.384448,28.440592,40.688172;763040.400244,36643312.697763,29.14271,41.073393;881390.949609,35923068.805846,28.682133,40.302578
1;862520.338946,36272719.776759,28.626197,40.423482;1165715.155845,37268795.183952,28.269954,40.900557;1125986.493744,36754224.672053,28.440597,40.688182;763040.575019,36643324.257659,29.142715,41.073403;881391.163522,35923095.768527,28.68214,40.302598
0;862526.977522,36272810.285285,28.626189,40.423526;1165728.49627,37268919.096506,28.269944,40.900619;1125990.008268,36754250.784671,28.440596,40.688196;763043.42123,36643345.279954,29.142714,41.073415;881397.921515,35923156.915611,28.682135,40.302629
0;862528.306692,36272844.527331,28.626201,40.423555;1165734.119934,37268962.093389,28.269962,40.900662;1125991.782276,36754266.483236,28.440602,40.688211;763045.01403,36643363.787317,29.142719,41.07343;881400.548086,35923181.618435,28.682145,40.302654
4;862528.391966,36272855.765623,28.626206,40.423565;1165734.282741,37268981.954606,28.26997,40.900679;1125991.883499,36754274.405341,28.440604,40.688217;763045.112334,36643372.501015,29.14272,41.073436;881400.670075,35923195.699719,28.682149,40.302665
0;862528.600066,36272906.35904,28.626243,40.423625;1165734.481094,37269043.587238,28.270023,40.900759;1125992.158035,36754289.474727,28.440619,40.688238;763045.363674,36643386.111848,29.142733,41.073455;881400.861086,35923227.272775,28.682176,40.302705
2;862528.803551,36272920.433953,28.62625,40.42364;1165735.084467,37269061.99971,28.270036,40.900782;1125992.448378,36754295.198434,28.440623,40.688245;763045.477246,36643392.369608,29.142736,41.073461;881401.097223,35923236.421702,28.682182,40.302716
0;862552.593902,36273890.639802,28.62687,40.424668;1165780.860304,37270588.092712,28.270804,40.902229;1126001.985714,36754619.326581,28.440834,40.688587;763054.006209,36643680.951413,29.142917,41.073768;881424.410769,35923945.582916,28.682574,40.303422
2;862554.927805,36273932.019229,28.626873,40.424696;1165787.024455,37270656.793575,28.270806,40.902273;1126003.141212,36754634.932728,28.440836,40.688598;763054.902202,36643695.56983,29.142919,41.073778;881427.579597,35923979.048777,28.682576,40.303445
0;862572.373377,36274252.76682,28.626842,40.424852;1165812.169694,37271218.734935,28.270749,40.902531;1126007.960208,36754751.683061,28.440825,40.688653;763059.052988,36643797.36209,29.142908,41.073825;881441.156156,35924250.393265,28.682543,40.30357
