Estimulo;C1;C2;C3;C4;C5
0;20065278.913423,465876394.663372,25.055095,137.082661;20656325.176858,372409674.533171,26.382729,127.047093;19386219.694828,391093712.611896,24.68863,124.958367;32629169.695287,747720584.115259,26.149488,176.972011;15349343.477753,324791877.209251,24.562807,113.261258
0;20065279.0306,465876402.937754,25.055095,137.082663;20656325.240047,372409682.214707,26.382729,127.047095;19386219.742204,391093715.362907,24.68863,124.958368;32629169.744592,747720588.14197,26.149488,176.972011;15349343.723948,324791890.921324,24.562808,113.261262
0;20065279.20979,465876419.379101,25.055096,137.082666;20656325.321146,372409696.769899,26.38273,127.047098;19386219.811592,391093723.652477,24.688631,124.95837;32629169.833589,747720596.499588,26.149488,176.972012;15349343.89522,324791906.171064,24.562809,113.261266
0;20065279.431136,465876433.122775,25.055096,137.08267;20656325.584514,372409712.581079,26.38273,127.047103;19386219.939939,391093728.648329,24.688631,124.958371;32629169.954676,747720602.289744,26.149488,176.972013;15349344.013502,324791928.509616,24.56281,113.261273
0;20065279.822421,465876453.05465,25.055097,137.082675;20656325.754184,372409735.128753,26.382731,127.047108;19386220.555284,391093736.651625,24.688631,124.958373;32629170.527685,747720609.538187,26.149488,176.972015;15349344.85221,324791953.729263,24.562812,113.261281
0;20065279.978051,465876467.197429,25.055098,137.082678;20656326.064503,372409748.616888,26.382732,127.047111;19386220.698264,391093742.406597,24.688631,124.958374;32629170.712413,747720615.188318,26.149488,176.972016;15349345.269933,324791970.529623,24.562813,113.261285
0;20065280.131152,465876476.287808,25.055098,137.082681;20656326.231171,372409757.271501,26.382732,127.047115;19386220.835587,391093746.137271,24.688632,124.958376;32629170.797923,747720619.393062,26.149488,176.972017;15349345.549923,324791980.442886,24.562814,113.261289
0;20065280.573201,465876489.828203,25.055099,137.082685;20656326.863394,372409776.726962,26.382733,127.047119;19386221.039207,391093753.533882,24.688632,124.958377;32629170.975432,747720626.952907,26.149488,176.972018;15349346.20021,324792007.264147,24.562814,113.261296
0;20065280.820166,465876508.114355,25.0551,137.08269;20656327.120836,372409793.862922,26.382734,127.047124;19386221.316655,391093760.329424,24.688632,124.958379;32629171.286919,747720633.536822,26.149489,176.972019;15349346.569824,324792030.004571,24.562816,113.261304
0;20065280.973014,465876519.156529,25.0551,137.082693;20656327.227937,372409807.356212,26.382734,127.047128;19386221.392635,391093764.209174,24.688632,124.95838;32629171.338317,747720638.40271,26.149489,176.97202;15349346.625273,324792050.398197,24.562817,113.261309
0;20065281.005672,465876541.862515,25.055101,137.082698;20656327.298405,372409829.625234,26.382735,127.047133;19386221.435136,391093771.012369,24.688633,124.958382;32629171.388672,747720645.655787,26.149489,176.972021;15349346.729769,324792084.768772,24.562819,113.261318
0;20065281.340194,465876570.051594,25.055103,137.082705;20656327.670055,372409855.002294,26.382736,127.047139;19386221.717764,391093778.496338,24.688633,124.958384;32629171.653917,747720653.244533,26.149489,176.972023;15349347.12565,324792117.409688,24.562821,113.261327
0;20065281.468461,465876586.799806,25.055103,137.082709;20656327.760584,372409870.635863,26.382737,127.047144;19386221.783906,391093785.339529,24.688634,124.958386;32629171.758957,747720660.430286,26.149489,176.972024;15349347.29763,324792139.463756,24.562823,113.261334
0;20065281.920882,465876614.101781,25.055105,137.082716;20656328.034352,372409897.977724,26.382738,127.047151;19386221.837956,391093795.037079,24.688634,124.958388;32629171.915784,747720671.727458,26.149489,176.972026;15349347.904305,324792172.856495,24.562825,113.261344
0;20065281.995199,465876624.043768,25.055106,137.08272;20656328.074796,372409908.238191,26.382739,127.047155;19386221.874859,391093797.789031,24.688634,124.958389;32629171.955828,747720674.81014,26.149489,176.972027;15349348.126903,324792188.849916,24.562827,113.26135
0;20065282.111038,465876630.21172,25.055106,137.082721;20656328.1838,372409919.003357,26.382739,127.047157;19386221.88304,391093800.217481,24.688634,124.95839;32629171.985393,747720677.070595,26.14949,176.972027;15349348.317477,324792197.82143,24.562827,113.261353
0;20065282.130015,465876641.895693,25.055106,137.082724;20656328.429491,372409931.24138,26.38274,127.04716;19386221.931575,391093803.442398,24.688634,124.958391;32629172.088652,747720679.921913,26.14949,176.972028;15349348.420608,324792206.626679,24.562828,113.261356
0;20065282.309897,465876655.133594,25.055107,137.082727;20656328.451269,372409941.565843,26.38274,127.047163;19386221.941954,391093807.057042,24.688635,124.958391;32629172.098507,747720683.585365,26.14949,176.972028;15349348.507112,324792220.933096,24.562829,113.26136
1;20065282.390612,465876672.063971,25.055107,137.08273;20656328.551077,372409958.551105,26.382741,127.047166;19386221.992841,391093813.765049,24.688635,124.958393;32629172.125321,747720690.482505,26.14949,176.972029;15349348.634858,324792245.625919,24.56283,113.261366
0;20065286.456983,465876715.218168,25.055111,137.082744;20656331.228481,372409989.53892,26.382742,127.047176;19386222.489431,391093821.690741,24.688635,124.958395;32629172.548567,747720698.402738,26.14949,176.972031;15349359.113086,324792333.280471,24.562832,113.261386
0;20065289.897882,465876734.669551,25.055111,137.082748;20656331.841704,372410004.005693,26.382743,127.047179;19386222.619502,391093825.536489,24.688636,124.958396;32629172.633479,747720702.043943,26.14949,176.972032;15349359.796236,324792344.816398,24.562833,113.26139
3;20065289.945233,465876744.981235,25.055112,137.082752;20656331.969406,372410013.699759,26.382744,127.047183;19386222.659361,391093828.375179,24.688636,124.958397;32629172.699094,747720704.735196,26.14949,176.972032;15349359.893431,324792357.901869,24.562834,113.261395
0;20065290.139974,465876755.912633,25.055112,137.082755;20656332.3008,372410024.290816,26.382744,127.047186;19386222.674344,391093832.876839,24.688636,124.958399;32629172.710891,747720708.922133,26.14949,176.972033;15349360.082158,324792369.376717,24.562835,113.261399
1;20065290.316943,465876772.457784,25.055113,137.082758;20656332.553617,372410041.795075,26.382745,127.04719;19386222.727303,391093839.119432,24.688636,124.9584;32629172.789403,747720714.532734,26.14949,176.972034;15349360.230979,324792392.517451,24.562836,113.261405
