Estimulo;C2;C3;C4
0;827276.338847,35008572.288318,29.756669,40.716369,827276.338847,35008572.288318,29.756669,40.716369;404002.313649,24094020.099555,33.000506,36.190742,404002.313649,24094020.099555,33.000506,36.190742;918208.304504,33057516.095399,30.631268,40.476045,918208.304504,33057516.095399,30.631268,40.476045
2;827276.972095,35008606.240036,29.756676,40.716397,827277.338681,35008633.929696,29.756688,40.716422;404003.284276,24094105.295478,33.000512,36.190818,404003.880142,24094171.162545,33.000531,36.190885;918210.192783,33057692.433891,30.631297,40.47619,918211.223688,33057825.00207,30.631344,40.476313
1;827280.498454,35008851.815242,29.756728,40.716583,827281.289032,35008894.016613,29.756735,40.716614;404010.891004,24094690.376171,33.000561,36.191309,404014.111294,24094793.073665,33.000565,36.191393;918225.446191,33058842.91605,30.631503,40.477086,918231.23136,33059041.877697,30.631534,40.477241
0;827283.627785,35008969.042924,29.75676,40.716674,827283.627785,35008969.042924,29.75676,40.716674;404021.242981,24094934.861504,33.000615,36.191538,404021.242981,24094934.861504,33.000615,36.191538;918243.378943,33059335.184899,30.631651,40.477509,918243.378943,33059335.184899,30.631651,40.477509
2;827284.097151,35009003.391947,29.756781,40.716713,827285.580324,35009064.648639,29.756788,40.716757;404021.713375,24095013.366558,33.000655,36.191637,404024.732557,24095171.092195,33.000652,36.191758;918243.66062,33059477.130163,30.631745,40.477687,918248.143097,33059793.388995,30.631773,40.47791
2;827285.868189,35009101.73351,29.756791,40.71678,827286.170674,35009134.672314,29.756799,40.71681;404025.232984,24095258.61414,33.000647,36.191817,404025.432484,24095314.373404,33.00066,36.191883;918248.900958,33059960.870883,30.631779,40.478015,918249.433114,33060077.320696,30.631816,40.478135
1;827286.555686,35009169.237873,29.756807,40.716835,827289.720026,35009258.103149,29.756847,40.716911;404026.141959,24095409.107085,33.000668,36.191955,404031.473075,24095615.562314,33.000742,36.192155;918250.732512,33060267.864564,30.631846,40.478267,918258.701073,33060681.344179,30.632022,40.478636
0;827291.838687,35009407.697805,29.75687,40.717018,827291.838687,35009407.697805,29.75687,40.717018;404035.262616,24095981.035086,33.000756,36.192443,404035.262616,24095981.035086,33.000756,36.192443;918265.879399,33061396.255143,30.632115,40.479154,918265.879399,33061396.255143,30.632115,40.479154
1;827293.505381,35009445.532123,29.756874,40.717041,827296.553298,35009551.297037,29.756919,40.717137;404038.63435,24096077.539579,33.000754,36.192507,404043.335717,24096351.720355,33.000822,36.192762;918271.05518,33061590.992178,30.632129,40.47927,918279.315945,33062148.631414,30.632302,40.479742
1;827300.450684,35009783.73585,29.756968,40.717318,827300.852522,35009853.594507,29.75698,40.717363;404050.921555,24096894.594065,33.000872,36.19323,404051.513897,24097044.114172,33.000887,36.19334;918291.857139,33063163.786435,30.632512,40.480568,918292.986362,33063433.380055,30.63257,40.48076
